# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5400 3 # agb_0.540_Z0.00010000_Mdot2_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8778 3.6734 0.54000 0.50486 0.5395 1.2772e+01 1 9.8175e-09 3.6734 7.561000e-01 2.438450e-01 6.449575e-05 -0.0512 
2.9895e+05 3.0399 3.6673 0.53105 0.50654 0.5395 1.8110e+01 1 5.0933e-08 3.6673 7.561000e-01 2.438450e-01 6.449575e-05 -0.0520 
6.7750e+05 3.0973 3.6772 0.51466 0.50912 0.5395 1.9021e+01 1 9.3541e-08 3.6772 7.561000e-01 2.438450e-01 6.449575e-05 999.0000 
 0.5600 3 # agb_0.560_Z0.00010000_Mdot2_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0106 3.6640 0.56000 0.50776 0.4007 1.7124e+01 1 3.3037e-08 3.6640 7.552000e-01 2.446910e-01 6.531050e-05 -0.0550 
2.9100e+05 3.0997 3.6615 0.54511 0.50971 0.4007 2.0811e+01 1 8.6099e-08 3.6615 7.552000e-01 2.446910e-01 6.531050e-05 -0.0542 
6.5694e+05 3.1596 3.6757 0.51769 0.51266 0.4007 2.1477e+01 1 1.6866e-07 3.6757 7.552000e-01 2.446910e-01 6.531050e-05 999.0000 
 0.5700 4 # agb_0.570_Z0.00010000_Mdot2_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9181 3.6680 0.57000 0.50597 0.4053 1.3907e+01 1 1.2560e-08 3.6680 7.553000e-01 2.446210e-01 6.522680e-05 -0.0537 
2.9619e+05 3.0364 3.6622 0.56235 0.50766 0.4053 1.8147e+01 1 4.2267e-08 3.6622 7.553000e-01 2.446210e-01 6.522680e-05 -0.0538 
6.9311e+05 3.0746 3.6628 0.54683 0.51050 0.4053 1.9658e+01 1 6.6527e-08 3.6628 7.553000e-01 2.446210e-01 6.522680e-05 -0.0533 
1.1257e+06 3.1338 3.6761 0.51978 0.51423 0.4053 2.0398e+01 1 1.2972e-07 3.6761 7.553000e-01 2.446210e-01 6.522680e-05 999.0000 
 0.5800 5 # agb_0.580_Z0.00010000_Mdot2_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9350 3.6665 0.58000 0.50659 0.3897 1.4374e+01 1 1.4093e-08 3.6665 7.549000e-01 2.450080e-01 6.530881e-05 -0.0544 
2.8778e+05 3.0457 3.6608 0.57335 0.50819 0.3897 1.8470e+01 1 4.3752e-08 3.6608 7.549000e-01 2.450080e-01 6.530881e-05 -0.0544 
6.9460e+05 3.0551 3.6622 0.55886 0.51112 0.3897 1.8831e+01 1 5.1523e-08 3.6622 7.549000e-01 2.450080e-01 6.530881e-05 -0.0543 
1.1509e+06 3.1049 3.6677 0.53176 0.51518 0.3897 2.0325e+01 1 9.4842e-08 3.6677 7.549000e-01 2.450080e-01 6.530881e-05 -0.0541 
1.3762e+06 3.0992 3.6786 0.52135 0.51628 0.3897 1.8763e+01 1 9.0782e-08 3.6786 7.549000e-01 2.450080e-01 6.530881e-05 999.0000 
 0.5900 4 # agb_0.590_Z0.00010000_Mdot2_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
