# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5600 3 # agb_0.560_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1096 3.6581 0.56000 0.50776 0.4007 2.1431e+01 1 1.9953e-07 3.6581 7.552000e-01 2.446910e-01 6.531050e-05 -0.0550 
2.9533e+05 3.0725 3.6765 0.51659 0.50970 0.4007 1.8232e+01 1 2.3067e-07 3.6765 7.552000e-01 2.446910e-01 6.531050e-05 -0.0519 
3.0443e+05 2.8980 3.6864 0.51514 0.50971 0.4007 1.2336e+01 1 1.1722e-07 3.6864 7.552000e-01 2.446910e-01 6.531050e-05 999.0000 
 0.5700 3 # agb_0.570_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0026 3.6632 0.57000 0.50597 0.4053 1.6819e+01 1 1.2388e-07 3.6632 7.553000e-01 2.446210e-01 6.522680e-05 -0.0537 
2.9912e+05 2.9698 3.6687 0.54285 0.50748 0.4053 1.5598e+01 1 1.2190e-07 3.6687 7.553000e-01 2.446210e-01 6.522680e-05 -0.0514 
5.8779e+05 3.0065 3.6816 0.51410 0.50879 0.4053 1.5607e+01 1 1.8113e-07 3.6816 7.553000e-01 2.446210e-01 6.522680e-05 999.0000 
 0.5800 3 # agb_0.580_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0184 3.6617 0.58000 0.50659 0.3897 1.7346e+01 1 1.2794e-07 3.6617 7.549000e-01 2.450080e-01 6.530881e-05 -0.0544 
2.9629e+05 2.9879 3.6662 0.55255 0.50814 0.3897 1.6270e+01 1 1.2560e-07 3.6662 7.549000e-01 2.450080e-01 6.530881e-05 -0.0526 
6.3105e+05 3.0274 3.6804 0.51550 0.50999 0.3897 1.6327e+01 1 1.9588e-07 3.6804 7.549000e-01 2.450080e-01 6.530881e-05 999.0000 
 0.5900 3 # agb_0.590_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1564 3.6532 0.59000 0.50986 0.3528 2.3566e+01 1 2.1878e-07 3.6532 7.526000e-01 2.472300e-01 6.554918e-05 -0.0575 
2.8895e+05 3.1179 3.6613 0.54527 0.51202 0.3528 2.1544e+01 1 2.2387e-07 3.6613 7.526000e-01 2.472300e-01 6.554918e-05 -0.0551 
4.9732e+05 3.1193 3.6776 0.51810 0.51299 0.3528 1.9673e+01 1 2.8973e-07 3.6776 7.526000e-01 2.472300e-01 6.554918e-05 999.0000 
 0.6000 4 # agb_0.600_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0108 3.6613 0.60000 0.50730 0.3810 1.6860e+01 1 1.1668e-07 3.6613 7.543000e-01 2.456070e-01 6.538619e-05 -0.0552 
2.9288e+05 2.9828 3.6644 0.57519 0.50882 0.3810 1.5999e+01 1 1.1324e-07 3.6644 7.543000e-01 2.456070e-01 6.538619e-05 -0.0537 
6.8024e+05 2.9915 3.6706 0.53490 0.51118 0.3810 1.6121e+01 1 1.4093e-07 3.6706 7.543000e-01 2.456070e-01 6.538619e-05 -0.0511 
8.6928e+05 2.9500 3.6845 0.51691 0.51167 0.3810 1.3737e+01 1 1.4355e-07 3.6845 7.543000e-01 2.456070e-01 6.538619e-05 999.0000 
 0.6200 4 # agb_0.62_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0317 3.6598 0.62000 0.50893 0.3776 1.7428e+01 1 1.2023e-07 3.6598 7.536000e-01 2.463040e-01 6.544222e-05 -0.0557 
2.8679e+05 3.0062 3.6622 0.59506 0.51050 0.3776 1.6685e+01 1 1.1695e-07 3.6622 7.536000e-01 2.463040e-01 6.544222e-05 -0.0546 
6.7153e+05 3.0114 3.6658 0.55446 0.51301 0.3776 1.7004e+01 1 1.3868e-07 3.6658 7.536000e-01 2.463040e-01 6.544222e-05 -0.0535 
9.6243e+05 3.0449 3.6802 0.51999 0.51454 0.3776 1.6814e+01 1 2.0893e-07 3.6802 7.536000e-01 2.463040e-01 6.544222e-05 999.0000 
 0.6500 4 # agb_0.65_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0674 3.6575 0.65000 0.51141 0.3821 1.8461e+01 1 1.2882e-07 3.6575 7.530000e-01 2.469400e-01 6.544544e-05 -0.0572 
2.7945e+05 3.0409 3.6596 0.62405 0.51309 0.3821 1.7680e+01 1 1.2417e-07 3.6596 7.530000e-01 2.469400e-01 6.544544e-05 -0.0564 
6.5524e+05 3.0529 3.6610 0.58215 0.51579 0.3821 1.8534e+01 1 1.4825e-07 3.6610 7.530000e-01 2.469400e-01 6.544544e-05 -0.0556 
1.0498e+06 3.0945 3.6781 0.52448 0.51894 0.3821 1.8610e+01 1 2.5468e-07 3.6781 7.530000e-01 2.469400e-01 6.544544e-05 999.0000 
 0.6600 5 # agb_0.66_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0650 3.6578 0.66000 0.51214 0.3869 1.8205e+01 1 1.2503e-07 3.6578 7.529000e-01 2.469570e-01 6.542367e-05 -0.0567 
2.7755e+05 3.0375 3.6597 0.63485 0.51382 0.3869 1.7403e+01 1 1.1912e-07 3.6597 7.529000e-01 2.469570e-01 6.542367e-05 -0.0552 
6.4978e+05 3.0502 3.6605 0.59471 0.51650 0.3869 1.8312e+01 1 1.4060e-07 3.6605 7.529000e-01 2.469570e-01 6.542367e-05 -0.0561 
1.0857e+06 3.0657 3.6734 0.53186 0.52025 0.3869 1.8147e+01 1 2.0654e-07 3.6734 7.529000e-01 2.469570e-01 6.542367e-05 -0.0520 
1.1012e+06 3.0887 3.6794 0.52538 0.52025 0.3869 1.8229e+01 1 2.5061e-07 3.6794 7.529000e-01 2.469570e-01 6.542367e-05 999.0000 
 0.6800 4 # agb_0.68_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2048 3.6491 0.68000 0.51498 0.3922 2.4667e+01 1 2.1135e-07 3.6491 7.515000e-01 2.484620e-01 6.533845e-05 -0.0603 
2.6982e+05 3.1756 3.6513 0.64070 0.51726 0.3922 2.3729e+01 1 2.0654e-07 3.6513 7.515000e-01 2.484620e-01 6.533845e-05 -0.0588 
6.5309e+05 3.1898 3.6552 0.56843 0.52129 0.3922 2.5157e+01 1 2.7925e-07 3.6552 7.515000e-01 2.484620e-01 6.533845e-05 -0.0581 
8.7549e+05 3.1931 3.6746 0.52814 0.52281 0.3922 2.2798e+01 1 3.8815e-07 3.6746 7.515000e-01 2.484620e-01 6.533845e-05 999.0000 
 0.7000 5 # agb_0.70_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1183 3.6551 0.70000 0.51620 0.4011 1.9862e+01 1 1.4223e-07 3.6551 7.524000e-01 2.475110e-01 6.533765e-05 -0.0579 
2.6512e+05 3.0922 3.6566 0.67272 0.51804 0.4011 1.9117e+01 1 1.3583e-07 3.6566 7.524000e-01 2.475110e-01 6.533765e-05 -0.0573 
6.2927e+05 3.1018 3.6567 0.62810 0.52110 0.4011 2.0133e+01 1 1.5812e-07 3.6567 7.524000e-01 2.475110e-01 6.533765e-05 -0.0582 
1.0491e+06 3.1224 3.6617 0.56078 0.52532 0.4011 2.1348e+01 1 2.1979e-07 3.6617 7.524000e-01 2.475110e-01 6.533765e-05 -0.0561 
1.2277e+06 3.0953 3.6789 0.53157 0.52614 0.4011 1.8404e+01 1 2.5235e-07 3.6789 7.524000e-01 2.475110e-01 6.533765e-05 999.0000 
 0.7200 4 # agb_0.72_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2454 3.6473 0.72000 0.51927 0.4082 2.6159e+01 1 2.3067e-07 3.6473 7.511000e-01 2.487200e-01 6.526944e-05 -0.0614 
2.6018e+05 3.2822 3.6445 0.66412 0.52225 0.4082 2.9765e+01 1 3.0690e-07 3.6445 7.511000e-01 2.487200e-01 6.526944e-05 -0.0616 
6.4035e+05 3.2340 3.6521 0.58110 0.52697 0.4082 2.7581e+01 1 3.2509e-07 3.6521 7.511000e-01 2.487200e-01 6.526944e-05 -0.0602 
8.5540e+05 3.2439 3.6738 0.53377 0.52877 0.4082 2.5037e+01 1 4.8529e-07 3.6738 7.511000e-01 2.487200e-01 6.526944e-05 999.0000 
 0.7500 4 # agb_0.75_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2666 3.6466 0.75000 0.52212 0.4171 2.6762e+01 1 2.3768e-07 3.6466 7.511000e-01 2.488570e-01 6.524875e-05 -0.0619 
2.5163e+05 3.4348 3.6343 0.65166 0.52620 0.4171 4.2824e+01 1 6.2806e-07 3.6343 7.511000e-01 2.488570e-01 6.524875e-05 -0.0652 
6.3786e+05 3.2641 3.6618 0.54679 0.53156 0.4171 2.8011e+01 1 4.5814e-07 3.6618 7.511000e-01 2.488570e-01 6.524875e-05 -0.0600 
6.5624e+05 3.0841 3.6801 0.53678 0.53157 0.4171 1.7786e+01 1 2.3878e-07 3.6801 7.511000e-01 2.488570e-01 6.524875e-05 999.0000 
 0.7600 4 # agb_0.76_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2626 3.6472 0.76000 0.52310 0.4203 2.6279e+01 1 2.2961e-07 3.6472 7.511000e-01 2.487690e-01 6.526523e-05 -0.0614 
2.4921e+05 3.3302 3.6416 0.69976 0.52632 0.4203 3.2313e+01 1 3.4754e-07 3.6416 7.511000e-01 2.487690e-01 6.526523e-05 -0.0622 
6.1698e+05 3.2556 3.6484 0.62015 0.53118 0.4203 2.8519e+01 1 3.1261e-07 3.6484 7.511000e-01 2.487690e-01 6.526523e-05 -0.0614 
9.0311e+05 3.2993 3.6711 0.54027 0.53486 0.4203 2.8081e+01 1 6.0954e-07 3.6711 7.511000e-01 2.487690e-01 6.526523e-05 999.0000 
 0.7800 5 # agb_0.78_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2081 3.6511 0.78000 0.52298 0.4258 2.2811e+01 1 1.7620e-07 3.6511 7.512000e-01 2.486960e-01 6.528581e-05 -0.0602 
2.4821e+05 3.3355 3.6416 0.72223 0.52619 0.4258 3.2117e+01 1 3.3884e-07 3.6416 7.512000e-01 2.486960e-01 6.528581e-05 -0.0602 
5.0724e+05 3.4186 3.6359 0.65104 0.52991 0.4258 4.1091e+01 1 5.8749e-07 3.6359 7.512000e-01 2.486960e-01 6.528581e-05 -0.0620 
6.1788e+05 3.4036 3.6440 0.57565 0.53310 0.4258 4.0115e+01 1 7.2277e-07 3.6440 7.512000e-01 2.486960e-01 6.528581e-05 -0.0620 
7.8339e+05 3.1846 3.6756 0.53967 0.53414 0.4258 2.2043e+01 1 3.6392e-07 3.6756 7.512000e-01 2.486960e-01 6.528581e-05 999.0000 
 0.8000 4 # agb_0.80_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3000 3.6458 0.80000 0.52629 0.4312 2.7688e+01 1 2.5003e-07 3.6458 7.492000e-01 2.506540e-01 6.547653e-05 -0.0624 
2.4014e+05 3.3491 3.6413 0.74187 0.52957 0.4312 3.2552e+01 1 3.4594e-07 3.6413 7.492000e-01 2.506540e-01 6.547653e-05 -0.0626 
5.9791e+05 3.4108 3.6402 0.60198 0.53650 0.4312 4.0857e+01 1 6.7143e-07 3.6402 7.492000e-01 2.506540e-01 6.547653e-05 -0.0655 
7.9776e+05 3.3136 3.6716 0.54376 0.53869 0.4312 2.8617e+01 1 6.5163e-07 3.6716 7.492000e-01 2.506540e-01 6.547653e-05 999.0000 
 0.8500 5 # agb_0.85_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2436 3.6511 0.85000 0.52725 0.4353 2.3291e+01 1 1.8239e-07 3.6511 7.465000e-01 2.533730e-01 6.591286e-05 -0.0603 
2.3627e+05 3.3484 3.6427 0.79845 0.53046 0.4353 3.0985e+01 1 3.0903e-07 3.6427 7.465000e-01 2.533730e-01 6.591286e-05 -0.0616 
5.8864e+05 3.4135 3.6370 0.67965 0.53734 0.4353 3.9512e+01 1 5.3580e-07 3.6370 7.465000e-01 2.533730e-01 6.591286e-05 -0.0652 
9.6070e+05 3.2755 3.6553 0.57588 0.54342 0.4353 2.9209e+01 1 4.1783e-07 3.6553 7.465000e-01 2.533730e-01 6.591286e-05 -0.0612 
1.0524e+06 3.1446 3.6787 0.54901 0.54370 0.4353 1.9852e+01 1 3.0200e-07 3.6787 7.465000e-01 2.533730e-01 6.591286e-05 999.0000 
 0.9000 5 # agb_0.90_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2742 3.6508 0.90000 0.53075 0.4275 2.3994e+01 1 1.9231e-07 3.6508 7.438000e-01 2.561090e-01 6.627797e-05 -0.0604 
2.2719e+05 3.3990 3.6407 0.84339 0.53426 0.4275 3.3558e+01 1 3.5563e-07 3.6407 7.438000e-01 2.561090e-01 6.627797e-05 -0.0626 
5.7033e+05 3.4699 3.6334 0.70690 0.54207 0.4275 4.4098e+01 1 6.4863e-07 3.6334 7.438000e-01 2.561090e-01 6.627797e-05 -0.0663 
9.2432e+05 3.3120 3.6501 0.59954 0.54847 0.4275 3.1786e+01 1 4.4668e-07 3.6501 7.438000e-01 2.561090e-01 6.627797e-05 -0.0633 
1.0578e+06 3.2792 3.6738 0.55475 0.54958 0.4275 2.6189e+01 1 5.4200e-07 3.6738 7.438000e-01 2.561090e-01 6.627797e-05 999.0000 
 0.9500 5 # agb_0.95_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2821 3.6520 0.95000 0.53342 0.4147 2.3464e+01 1 1.8578e-07 3.6520 7.412000e-01 2.586350e-01 6.661623e-05 -0.0598 
2.1875e+05 3.3608 3.6456 0.90697 0.53652 0.4147 2.9080e+01 1 2.7416e-07 3.6456 7.412000e-01 2.586350e-01 6.661623e-05 -0.0609 
5.4649e+05 3.4224 3.6389 0.81357 0.54318 0.4147 3.6138e+01 1 4.1879e-07 3.6389 7.412000e-01 2.586350e-01 6.661623e-05 -0.0644 
8.9349e+05 3.4909 3.6349 0.64228 0.55268 0.4147 4.7598e+01 1 8.6896e-07 3.6349 7.412000e-01 2.586350e-01 6.661623e-05 -0.0685 
1.0955e+06 3.3599 3.6713 0.56100 0.55584 0.4147 3.0731e+01 1 7.7625e-07 3.6713 7.412000e-01 2.586350e-01 6.661623e-05 999.0000 
 1.0000 6 # agb_1.00_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2322 3.6567 1.00000 0.53510 0.4029 2.0157e+01 1 1.4289e-07 3.6567 7.395000e-01 2.603740e-01 6.688478e-05 -0.0581 
2.1443e+05 3.3741 3.6463 0.95819 0.53826 0.4029 2.8824e+01 1 2.6915e-07 3.6463 7.395000e-01 2.603740e-01 6.688478e-05 -0.0607 
5.3627e+05 3.4410 3.6392 0.86661 0.54514 0.4029 3.6114e+01 1 4.1400e-07 3.6392 7.395000e-01 2.603740e-01 6.688478e-05 -0.0642 
8.7449e+05 3.5191 3.6314 0.70006 0.55507 0.4029 4.9203e+01 1 8.3946e-07 3.6314 7.395000e-01 2.603740e-01 6.688478e-05 -0.0688 
1.1850e+06 3.3094 3.6558 0.59201 0.56093 0.4029 3.0533e+01 1 4.7534e-07 3.6558 7.395000e-01 2.603740e-01 6.688478e-05 -0.0612 
1.2232e+06 3.1673 3.6790 0.56641 0.56095 0.4029 2.0322e+01 1 3.2137e-07 3.6790 7.395000e-01 2.603740e-01 6.688478e-05 999.0000 
 1.0500 5 # agb_1.05_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3318 3.6519 1.05000 0.53977 0.3901 2.4442e+01 1 2.0091e-07 3.6519 7.369000e-01 2.630090e-01 6.710314e-05 -0.0609 
2.0553e+05 3.4430 3.6430 0.99870 0.54344 0.3901 3.2798e+01 1 3.4198e-07 3.6430 7.369000e-01 2.630090e-01 6.710314e-05 -0.0621 
5.1534e+05 3.5171 3.6345 0.88328 0.55158 0.3901 4.2561e+01 1 5.6624e-07 3.6345 7.369000e-01 2.630090e-01 6.710314e-05 -0.0657 
8.3281e+05 3.5852 3.6285 0.66924 0.56271 0.3901 5.8047e+01 1 1.2589e-06 3.6285 7.369000e-01 2.630090e-01 6.710314e-05 -0.0714 
1.0215e+06 3.4227 3.6696 0.57163 0.56635 0.3901 3.4565e+01 1 1.0186e-06 3.6696 7.369000e-01 2.630090e-01 6.710314e-05 999.0000 
 1.1000 6 # agb_1.10_Z0.00010000_Mdot50_eta0.20_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
