# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5150 4 # agb_0.515_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.7514 3.6823 0.51500 0.50076 0.5464 9.7220e+00 1 6.0674e-09 3.6823 7.541000e-01 2.456990e-01 1.292366e-04 -0.0521 
2.8909e+05 2.8988 3.6765 0.51277 0.50181 0.5464 1.3319e+01 1 1.0399e-08 3.6765 7.541000e-01 2.456990e-01 1.292366e-04 -0.0528 
6.5101e+05 2.9122 3.6809 0.50980 0.50336 0.5464 1.3257e+01 1 1.0740e-08 3.6809 7.541000e-01 2.456990e-01 1.292366e-04 -0.0499 
9.9498e+05 2.9289 3.6896 0.50702 0.50476 0.5464 1.2859e+01 1 1.0990e-08 3.6896 7.541000e-01 2.456990e-01 1.292366e-04 999.0000 
 0.5200 4 # agb_0.520_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8797 3.6734 0.52000 0.50253 0.5464 1.3058e+01 1 9.7499e-09 3.6734 7.541000e-01 2.457030e-01 1.292366e-04 -0.0560 
2.8794e+05 2.9976 3.6695 0.51685 0.50398 0.5464 1.6725e+01 1 1.4997e-08 3.6695 7.541000e-01 2.457030e-01 1.292366e-04 -0.0549 
6.5418e+05 3.0378 3.6749 0.51240 0.50622 0.5464 1.7383e+01 1 1.6943e-08 3.6749 7.541000e-01 2.457030e-01 1.292366e-04 -0.0525 
7.5866e+05 2.7651 3.6906 0.51146 0.50641 0.5464 9.4150e+00 1 6.1660e-09 3.6906 7.541000e-01 2.457030e-01 1.292366e-04 999.0000 
 0.5250 3 # agb_0.525_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9823 3.6656 0.52500 0.50406 0.5457 1.6600e+01 1 1.4256e-08 3.6656 7.541000e-01 2.457700e-01 1.292556e-04 -0.0586 
2.7915e+05 3.1545 3.6594 0.52008 0.50603 0.5457 2.3930e+01 1 2.6853e-08 3.6594 7.541000e-01 2.457700e-01 1.292556e-04 -0.0581 
6.1052e+05 3.2000 3.6690 0.51391 0.50872 0.5457 2.4392e+01 1 3.0409e-08 3.6690 7.541000e-01 2.457700e-01 1.292556e-04 999.0000 
 0.5300 5 # agb_0.530_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9208 3.6670 0.53000 0.50247 0.5418 1.4618e+01 1 1.1350e-08 3.6670 7.540000e-01 2.457670e-01 1.293228e-04 -0.0593 
2.9503e+05 2.9912 3.6645 0.52658 0.50404 0.5418 1.6986e+01 1 1.4723e-08 3.6645 7.540000e-01 2.457670e-01 1.293228e-04 -0.0593 
5.3276e+05 3.0456 3.6626 0.52422 0.50500 0.5418 1.9066e+01 1 1.8030e-08 3.6626 7.540000e-01 2.457670e-01 1.293228e-04 -0.0585 
6.6419e+05 3.0442 3.6652 0.52174 0.50642 0.5418 1.8708e+01 1 1.7824e-08 3.6652 7.540000e-01 2.457670e-01 1.293228e-04 -0.0585 
1.1027e+06 3.0818 3.6750 0.51512 0.50994 0.5418 1.8777e+01 1 1.9634e-08 3.6750 7.540000e-01 2.457670e-01 1.293228e-04 999.0000 
 0.5400 6 # agb_0.540_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8347 3.6695 0.54000 0.50148 0.5314 1.2136e+01 1 8.1846e-09 3.6695 7.540000e-01 2.458280e-01 1.294480e-04 -0.0592 
2.9005e+05 2.9564 3.6626 0.53726 0.50278 0.5314 1.5992e+01 1 1.2912e-08 3.6626 7.540000e-01 2.458280e-01 1.294480e-04 -0.0599 
6.5354e+05 2.9953 3.6620 0.53341 0.50475 0.5314 1.7324e+01 1 1.4928e-08 3.6620 7.540000e-01 2.458280e-01 1.294480e-04 -0.0599 
1.0815e+06 3.0318 3.6632 0.52812 0.50758 0.5314 1.8449e+01 1 1.7022e-08 3.6632 7.540000e-01 2.458280e-01 1.294480e-04 -0.0580 
1.5474e+06 3.0633 3.6689 0.52146 0.51130 0.5314 1.8867e+01 1 1.8707e-08 3.6689 7.540000e-01 2.458280e-01 1.294480e-04 -0.0551 
1.8076e+06 3.0654 3.6752 0.51818 0.51267 0.5314 1.8134e+01 1 1.8408e-08 3.6752 7.540000e-01 2.458280e-01 1.294480e-04 999.0000 
 0.5500 6 # agb_0.550_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9175 3.6628 0.55000 0.50263 0.4375 1.4697e+01 1 1.1015e-08 3.6628 7.536000e-01 2.462570e-01 1.304231e-04 -0.0620 
2.8898e+05 3.0510 3.6548 0.54623 0.50429 0.4375 1.9966e+01 1 1.8239e-08 3.6548 7.536000e-01 2.462570e-01 1.304231e-04 -0.0626 
6.6224e+05 3.0976 3.6539 0.54064 0.50697 0.4375 2.2005e+01 1 2.1777e-08 3.6539 7.536000e-01 2.462570e-01 1.304231e-04 -0.0629 
1.1171e+06 3.1237 3.6574 0.53242 0.51118 0.4375 2.2686e+01 1 2.3823e-08 3.6574 7.536000e-01 2.462570e-01 1.304231e-04 -0.0618 
1.5711e+06 3.1714 3.6678 0.52301 0.51618 0.4375 2.3148e+01 1 2.7227e-08 3.6678 7.536000e-01 2.462570e-01 1.304231e-04 -0.0574 
1.6828e+06 2.9431 3.6825 0.52148 0.51644 0.4375 1.3701e+01 1 1.1588e-08 3.6825 7.536000e-01 2.462570e-01 1.304231e-04 999.0000 
 0.5600 8 # agb_0.560_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8253 3.6673 0.56000 0.50205 0.4509 1.1908e+01 1 7.7090e-09 3.6673 7.537000e-01 2.461130e-01 1.302856e-04 -0.0601 
2.8643e+05 2.9397 3.6604 0.55751 0.50327 0.4509 1.5468e+01 1 1.1858e-08 3.6604 7.537000e-01 2.461130e-01 1.302856e-04 -0.0611 
6.4701e+05 2.9668 3.6595 0.55403 0.50510 0.4509 1.6415e+01 1 1.3183e-08 3.6595 7.537000e-01 2.461130e-01 1.302856e-04 -0.0609 
1.0688e+06 2.9986 3.6589 0.54934 0.50769 0.4509 1.7558e+01 1 1.4859e-08 3.6589 7.537000e-01 2.461130e-01 1.302856e-04 -0.0617 
1.5249e+06 3.0350 3.6589 0.54340 0.51104 0.4509 1.8873e+01 1 1.7061e-08 3.6589 7.537000e-01 2.461130e-01 1.302856e-04 -0.0618 
1.9885e+06 3.0693 3.6611 0.53639 0.51505 0.4509 1.9902e+01 1 1.9231e-08 3.6611 7.537000e-01 2.461130e-01 1.302856e-04 -0.0601 
2.4419e+06 3.1009 3.6688 0.52853 0.51953 0.4509 2.0089e+01 1 2.1038e-08 3.6688 7.537000e-01 2.461130e-01 1.302856e-04 -0.0561 
2.6406e+06 3.0869 3.6757 0.52559 0.52050 0.4509 1.8659e+01 1 1.9498e-08 3.6757 7.537000e-01 2.461130e-01 1.302856e-04 999.0000 
 0.5700 9 # agb_0.570_Z0.00020000_Mdot4_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8534 3.6648 0.57000 0.50273 0.4136 1.2651e+01 1 8.4528e-09 3.6648 7.533000e-01 2.464550e-01 1.306680e-04 -0.0617 
2.9166e+05 2.9142 3.6613 0.56751 0.50398 0.4136 1.4536e+01 1 1.0641e-08 3.6613 7.533000e-01 2.464550e-01 1.306680e-04 -0.0615 
6.4812e+05 2.9518 3.6594 0.56412 0.50579 0.4136 1.5837e+01 1 1.2303e-08 3.6594 7.533000e-01 2.464550e-01 1.306680e-04 -0.0626 
1.0656e+06 2.9879 3.6581 0.55954 0.50835 0.4136 1.7150e+01 1 1.4125e-08 3.6581 7.533000e-01 2.464550e-01 1.306680e-04 -0.0621 
1.5194e+06 3.0226 3.6577 0.55373 0.51168 0.4136 1.8435e+01 1 1.6106e-08 3.6577 7.533000e-01 2.464550e-01 1.306680e-04 -0.0625 
1.9814e+06 3.0523 3.6587 0.54687 0.51564 0.4136 1.9441e+01 1 1.7989e-08 3.6587 7.533000e-01 2.464550e-01 1.306680e-04 -0.0626 
2.4081e+06 3.1035 3.6603 0.53966 0.51966 0.4136 2.1250e+01 1 2.1627e-08 3.6603 7.533000e-01 2.464550e-01 1.306680e-04 -0.0602 
2.8415e+06 3.1358 3.6705 0.53127 0.52438 0.4136 2.1092e+01 1 2.3388e-08 3.6705 7.533000e-01 2.464550e-01 1.306680e-04 -0.0531 
2.9161e+06 2.9131 3.6847 0.52977 0.52460 0.4136 1.2661e+01 1 1.0186e-08 3.6847 7.533000e-01 2.464550e-01 1.306680e-04 999.0000 
