# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5150 5 # agb_0.515_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8483 3.6770 0.51500 0.50076 0.5464 1.2072e+01 1 6.6834e-09 3.6770 7.541000e-01 2.456990e-01 1.292366e-04 -0.0521 
2.8950e+05 2.8972 3.6761 0.51328 0.50181 0.5464 1.3307e+01 1 8.3368e-09 3.6761 7.541000e-01 2.456990e-01 1.292366e-04 -0.0531 
6.5195e+05 2.9086 3.6795 0.51093 0.50335 0.5464 1.3282e+01 1 8.8105e-09 3.6795 7.541000e-01 2.456990e-01 1.292366e-04 -0.0519 
1.0753e+06 2.9181 3.6896 0.50784 0.50547 0.5464 1.2593e+01 1 9.2257e-09 3.6896 7.541000e-01 2.456990e-01 1.292366e-04 -0.0458 
1.0979e+06 2.9385 3.6902 0.50756 0.50554 0.5464 1.3022e+01 1 1.0116e-08 3.6902 7.541000e-01 2.456990e-01 1.292366e-04 999.0000 
 0.5200 4 # agb_0.520_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9880 3.6668 0.52000 0.50253 0.5464 1.6711e+01 1 1.2474e-08 3.6668 7.541000e-01 2.457030e-01 1.292366e-04 -0.0560 
2.8803e+05 2.9972 3.6692 0.51738 0.50398 0.5464 1.6747e+01 1 1.3062e-08 3.6692 7.541000e-01 2.457030e-01 1.292366e-04 -0.0555 
6.5359e+05 3.0393 3.6732 0.51349 0.50622 0.5464 1.7627e+01 1 1.5996e-08 3.6732 7.541000e-01 2.457030e-01 1.292366e-04 -0.0537 
8.5455e+05 2.9838 3.6797 0.51193 0.50687 0.5464 1.5210e+01 1 1.2331e-08 3.6797 7.541000e-01 2.457030e-01 1.292366e-04 999.0000 
 0.5250 3 # agb_0.525_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0994 3.6581 0.52500 0.50406 0.5457 2.1728e+01 1 2.1086e-08 3.6581 7.541000e-01 2.457700e-01 1.292556e-04 -0.0586 
2.7942e+05 3.1534 3.6592 0.52026 0.50603 0.5457 2.3904e+01 1 2.7733e-08 3.6592 7.541000e-01 2.457700e-01 1.292556e-04 -0.0585 
6.1504e+05 3.2014 3.6692 0.51387 0.50880 0.5457 2.4417e+01 1 3.4995e-08 3.6692 7.541000e-01 2.457700e-01 1.292556e-04 999.0000 
 0.5300 6 # agb_0.530_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0269 3.6602 0.53000 0.50247 0.5418 1.8654e+01 1 1.4655e-08 3.6602 7.540000e-01 2.457670e-01 1.293228e-04 -0.0593 
2.8031e+05 3.0257 3.6619 0.52740 0.50390 0.5418 1.8429e+01 1 1.4655e-08 3.6619 7.540000e-01 2.457670e-01 1.293228e-04 -0.0593 
2.9508e+05 2.9909 3.6643 0.52718 0.50404 0.5418 1.6995e+01 1 1.2417e-08 3.6643 7.540000e-01 2.457670e-01 1.293228e-04 -0.0584 
6.6470e+05 3.0423 3.6645 0.52303 0.50642 0.5418 1.8712e+01 1 1.5996e-08 3.6645 7.540000e-01 2.457670e-01 1.293228e-04 -0.0584 
1.1031e+06 3.0802 3.6717 0.51698 0.50993 0.5418 1.9141e+01 1 1.9231e-08 3.6717 7.540000e-01 2.457670e-01 1.293228e-04 -0.0571 
1.2636e+06 2.9628 3.6809 0.51551 0.51036 0.5418 1.4454e+01 1 1.1092e-08 3.6809 7.540000e-01 2.457670e-01 1.293228e-04 999.0000 
 0.5400 6 # agb_0.540_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9237 3.6637 0.54000 0.50148 0.5314 1.4905e+01 1 8.8105e-09 3.6637 7.540000e-01 2.458280e-01 1.294480e-04 -0.0592 
2.9031e+05 2.9552 3.6626 0.53790 0.50278 0.5314 1.5956e+01 1 1.0233e-08 3.6626 7.540000e-01 2.458280e-01 1.294480e-04 -0.0602 
6.5288e+05 2.9967 3.6614 0.53486 0.50474 0.5314 1.7419e+01 1 1.2531e-08 3.6614 7.540000e-01 2.458280e-01 1.294480e-04 -0.0601 
1.0830e+06 3.0286 3.6624 0.53050 0.50758 0.5314 1.8400e+01 1 1.4689e-08 3.6624 7.540000e-01 2.458280e-01 1.294480e-04 -0.0584 
1.5466e+06 3.0643 3.6659 0.52470 0.51128 0.5314 1.9262e+01 1 1.7620e-08 3.6659 7.540000e-01 2.458280e-01 1.294480e-04 -0.0569 
1.9213e+06 3.1042 3.6739 0.51949 0.51422 0.5314 1.9631e+01 1 2.1330e-08 3.6739 7.540000e-01 2.458280e-01 1.294480e-04 999.0000 
 0.5500 6 # agb_0.550_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0125 3.6563 0.55000 0.50263 0.4375 1.8345e+01 1 1.3032e-08 3.6563 7.536000e-01 2.462570e-01 1.304231e-04 -0.0620 
2.8924e+05 3.0498 3.6548 0.54687 0.50430 0.4375 1.9917e+01 1 1.5704e-08 3.6548 7.536000e-01 2.462570e-01 1.304231e-04 -0.0626 
6.6271e+05 3.0960 3.6536 0.54206 0.50697 0.4375 2.1958e+01 1 1.9907e-08 3.6536 7.536000e-01 2.462570e-01 1.304231e-04 -0.0633 
1.0992e+06 3.1418 3.6547 0.53500 0.51088 0.4375 2.3845e+01 1 2.5293e-08 3.6547 7.536000e-01 2.462570e-01 1.304231e-04 -0.0618 
1.5766e+06 3.1649 3.6654 0.52496 0.51627 0.4375 2.3238e+01 1 2.8510e-08 3.6654 7.536000e-01 2.462570e-01 1.304231e-04 -0.0582 
1.7678e+06 3.1346 3.6733 0.52222 0.51722 0.4375 2.0800e+01 1 2.4434e-08 3.6733 7.536000e-01 2.462570e-01 1.304231e-04 999.0000 
 0.5600 8 # agb_0.560_Z0.00020000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9041 3.6623 0.56000 0.50205 0.4509 1.4266e+01 1 7.6560e-09 3.6623 7.537000e-01 2.461130e-01 1.302856e-04 -0.0601 
2.8643e+05 2.9396 3.6603 0.55817 0.50327 0.4509 1.5468e+01 1 9.0365e-09 3.6603 7.537000e-01 2.461130e-01 1.302856e-04 -0.0611 
6.4785e+05 2.9641 3.6595 0.55558 0.50510 0.4509 1.6313e+01 1 1.0209e-08 3.6595 7.537000e-01 2.461130e-01 1.302856e-04 -0.0610 
1.0683e+06 2.9992 3.6584 0.55195 0.50768 0.4509 1.7596e+01 1 1.2134e-08 3.6584 7.537000e-01 2.461130e-01 1.302856e-04 -0.0619 
1.5237e+06 3.0369 3.6579 0.54712 0.51103 0.4509 1.9009e+01 1 1.4689e-08 3.6579 7.537000e-01 2.461130e-01 1.302856e-04 -0.0626 
1.9889e+06 3.0675 3.6594 0.54107 0.51505 0.4509 2.0000e+01 1 1.7219e-08 3.6594 7.537000e-01 2.461130e-01 1.302856e-04 -0.0609 
2.4417e+06 3.1001 3.6639 0.53379 0.51951 0.4509 2.0687e+01 1 2.0370e-08 3.6639 7.537000e-01 2.461130e-01 1.302856e-04 -0.0574 
2.7675e+06 3.1475 3.6719 0.52801 0.52241 0.4509 2.1386e+01 1 2.5645e-08 3.6719 7.537000e-01 2.461130e-01 1.302856e-04 999.0000 
