# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5150 5 # agb_0.515_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8483 3.6770 0.51500 0.50076 0.5464 1.2073e+01 1 6.1094e-10 3.6770 7.541000e-01 2.456990e-01 1.292366e-04 -0.0521 
2.1203e+05 3.1155 3.6622 0.51479 0.50174 0.5464 2.1939e+01 1 2.2029e-09 3.6622 7.541000e-01 2.456990e-01 1.292366e-04 -0.0521 
2.8723e+05 3.1191 3.6630 0.51462 0.50257 0.5464 2.1961e+01 1 2.2803e-09 3.6630 7.541000e-01 2.456990e-01 1.292366e-04 -0.0566 
6.7859e+05 3.1841 3.6644 0.51386 0.50595 0.5464 2.4496e+01 1 3.4754e-09 3.6644 7.541000e-01 2.456990e-01 1.292366e-04 -0.0566 
1.0908e+06 3.2674 3.6769 0.51255 0.51053 0.5464 2.6080e+01 1 7.3282e-09 3.6769 7.541000e-01 2.456990e-01 1.292366e-04 999.0000 
 0.5200 5 # agb_0.520_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9880 3.6668 0.52000 0.50253 0.5464 1.6711e+01 1 1.1015e-09 3.6668 7.541000e-01 2.457030e-01 1.292366e-04 -0.0558 
2.8185e+05 3.2023 3.6558 0.51949 0.50471 0.5464 2.6825e+01 1 3.1696e-09 3.6558 7.541000e-01 2.457030e-01 1.292366e-04 -0.0558 
5.6199e+05 3.2529 3.6554 0.51898 0.50687 0.5464 2.9536e+01 1 4.3152e-09 3.6554 7.541000e-01 2.457030e-01 1.292366e-04 -0.0590 
6.8303e+05 3.2628 3.6585 0.51841 0.50909 0.5464 2.9411e+01 1 4.8195e-09 3.6585 7.541000e-01 2.457030e-01 1.292366e-04 -0.0590 
9.9003e+05 3.3240 3.6636 0.51750 0.51231 0.5464 3.1715e+01 1 7.7090e-09 3.6636 7.541000e-01 2.457030e-01 1.292366e-04 999.0000 
 0.5250 5 # agb_0.525_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0994 3.6581 0.52500 0.50406 0.5457 2.1728e+01 1 1.7906e-09 3.6581 7.541000e-01 2.457700e-01 1.292556e-04 -0.0586 
2.8191e+05 3.2959 3.6479 0.52463 0.50688 0.5457 3.3569e+01 1 2.2542e-09 3.6479 7.541000e-01 2.457700e-01 1.292556e-04 -0.0586 
5.5372e+05 3.3500 3.6474 0.52430 0.50950 0.5457 3.7217e+01 1 3.1333e-09 3.6474 7.541000e-01 2.457700e-01 1.292556e-04 -0.0615 
6.9828e+05 3.3525 3.6520 0.52379 0.51295 0.5457 3.6176e+01 1 3.4119e-09 3.6520 7.541000e-01 2.457700e-01 1.292556e-04 -0.0615 
1.0149e+06 3.4355 3.6593 0.52304 0.51773 0.5457 3.9930e+01 1 6.4565e-09 3.6593 7.541000e-01 2.457700e-01 1.292556e-04 999.0000 
 0.5300 5 # agb_0.530_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0269 3.6602 0.53000 0.50247 0.5418 1.8654e+01 1 1.1858e-09 3.6602 7.540000e-01 2.457670e-01 1.293228e-04 -0.0593 
2.8303e+05 3.1976 3.6501 0.52939 0.50466 0.5418 2.7466e+01 1 3.7239e-09 3.6501 7.540000e-01 2.457670e-01 1.293228e-04 -0.0618 
6.8332e+05 3.2604 3.6495 0.52813 0.50900 0.5418 3.0987e+01 1 5.4702e-09 3.6495 7.540000e-01 2.457670e-01 1.293228e-04 -0.0617 
1.1530e+06 3.3231 3.6560 0.52568 0.51626 0.5418 3.3221e+01 1 8.9743e-09 3.6560 7.540000e-01 2.457670e-01 1.293228e-04 -0.0600 
1.4051e+06 3.3726 3.6621 0.52446 0.51919 0.5418 3.4831e+01 1 1.3614e-08 3.6621 7.540000e-01 2.457670e-01 1.293228e-04 999.0000 
 0.5400 6 # agb_0.540_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9237 3.6637 0.54000 0.50148 0.5314 1.4905e+01 1 6.7608e-10 3.6637 7.540000e-01 2.458280e-01 1.294480e-04 -0.0592 
2.9057e+05 3.1651 3.6483 0.53970 0.50361 0.5314 2.5976e+01 1 1.6293e-09 3.6483 7.540000e-01 2.458280e-01 1.294480e-04 -0.0643 
6.8980e+05 3.2366 3.6451 0.53912 0.50770 0.5314 3.0314e+01 1 2.4099e-09 3.6451 7.540000e-01 2.458280e-01 1.294480e-04 -0.0647 
1.1561e+06 3.3147 3.6439 0.53804 0.51455 0.5314 3.5311e+01 1 3.8548e-09 3.6439 7.540000e-01 2.458280e-01 1.294480e-04 -0.0645 
1.6035e+06 3.4028 3.6478 0.53624 0.52330 0.5314 4.0385e+01 1 7.1121e-09 3.6478 7.540000e-01 2.458280e-01 1.294480e-04 -0.0625 
1.9055e+06 3.4773 3.6584 0.53463 0.52912 0.5314 4.2921e+01 1 1.3428e-08 3.6584 7.540000e-01 2.458280e-01 1.294480e-04 999.0000 
 0.5500 6 # agb_0.550_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0125 3.6563 0.55000 0.50263 0.4375 1.8345e+01 1 9.6161e-10 3.6563 7.536000e-01 2.462570e-01 1.304231e-04 -0.0620 
2.9101e+05 3.2217 3.6422 0.54972 0.50517 0.4375 2.9824e+01 1 1.4454e-09 3.6422 7.536000e-01 2.462570e-01 1.304231e-04 -0.0663 
7.0007e+05 3.2923 3.6393 0.54917 0.51027 0.4375 3.4710e+01 1 2.1380e-09 3.6393 7.536000e-01 2.462570e-01 1.304231e-04 -0.0672 
1.1493e+06 3.3881 3.6365 0.54820 0.51815 0.4375 4.2258e+01 1 3.7584e-09 3.6365 7.536000e-01 2.462570e-01 1.304231e-04 -0.0675 
1.5926e+06 3.4581 3.6404 0.54656 0.52853 0.4375 9.8256e+01 0 6.2087e-09 3.6404 7.536000e-01 2.462570e-01 1.304231e-04 -0.0656 
1.9657e+06 3.5375 3.6573 0.54423 0.53880 0.4375 1.0123e+02 0 1.3213e-08 3.6573 7.536000e-01 2.462570e-01 1.304231e-04 999.0000 
 0.5600 8 # agb_0.560_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9041 3.6623 0.56000 0.50205 0.4509 1.4266e+01 1 5.5590e-10 3.6623 7.537000e-01 2.461130e-01 1.302856e-04 -0.0601 
2.8493e+05 3.1579 3.6448 0.55972 0.50406 0.4509 2.5800e+01 1 1.6255e-09 3.6448 7.537000e-01 2.461130e-01 1.302856e-04 -0.0648 
6.7749e+05 3.2259 3.6410 0.55918 0.50791 0.4509 3.0062e+01 1 2.3281e-09 3.6410 7.537000e-01 2.461130e-01 1.302856e-04 -0.0667 
1.1362e+06 3.3072 3.6373 0.55819 0.51432 0.4509 3.5884e+01 1 3.6644e-09 3.6373 7.537000e-01 2.461130e-01 1.302856e-04 -0.0686 
1.5801e+06 3.3952 3.6349 0.55664 0.52259 0.4509 4.2969e+01 1 6.2087e-09 3.6349 7.537000e-01 2.461130e-01 1.302856e-04 -0.0688 
2.0028e+06 3.4646 3.6379 0.55416 0.53266 0.4509 1.0063e+02 0 1.0116e-08 3.6379 7.537000e-01 2.461130e-01 1.302856e-04 -0.0665 
2.3759e+06 3.5249 3.6532 0.55053 0.54315 0.4509 1.0102e+02 0 1.8578e-08 3.6532 7.537000e-01 2.461130e-01 1.302856e-04 -0.0590 
2.4980e+06 3.4019 3.6634 0.54980 0.54464 0.4509 3.5528e+01 1 9.9541e-09 3.6634 7.537000e-01 2.461130e-01 1.302856e-04 999.0000 
 0.5700 8 # agb_0.570_Z0.00020000_Mdot51_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9322 3.6596 0.57000 0.50273 0.4136 1.5183e+01 1 6.0395e-10 3.6596 7.533000e-01 2.464550e-01 1.306680e-04 -0.0617 
2.9133e+05 3.1274 3.6462 0.56956 0.50481 0.4136 2.3954e+01 1 2.1979e-09 3.6462 7.533000e-01 2.464550e-01 1.306680e-04 -0.0658 
6.8434e+05 3.1930 3.6422 0.56874 0.50863 0.4136 2.7821e+01 1 3.0903e-09 3.6422 7.533000e-01 2.464550e-01 1.306680e-04 -0.0665 
1.1417e+06 3.2719 3.6383 0.56729 0.51489 0.4136 3.3112e+01 1 4.7753e-09 3.6383 7.533000e-01 2.464550e-01 1.306680e-04 -0.0690 
