# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5100 6 # agb_0.510_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9331 3.6476 0.51000 0.49797 0.5366 1.7569e+01 1 2.0417e-12 3.6476 7.405000e-01 2.585120e-01 6.637973e-04 -0.0756 
2.5393e+05 3.1023 3.6366 0.51000 0.49957 0.5366 2.5950e+01 1 2.0417e-12 3.6366 7.405000e-01 2.585120e-01 6.637973e-04 -0.0756 
4.7894e+05 3.1495 3.6356 0.51000 0.50087 0.5366 2.8498e+01 1 2.0417e-12 3.6356 7.405000e-01 2.585120e-01 6.637973e-04 -0.0784 
5.7455e+05 3.1435 3.6390 0.51000 0.50222 0.5366 2.7499e+01 1 2.0417e-12 3.6390 7.405000e-01 2.585120e-01 6.637973e-04 -0.0784 
9.4943e+05 3.1961 3.6501 0.51000 0.50630 0.5366 2.7918e+01 1 2.0417e-12 3.6501 7.405000e-01 2.585120e-01 6.637973e-04 -0.0759 
1.1597e+06 3.2273 3.6592 0.51000 0.50777 0.5366 2.7645e+01 1 2.0417e-12 3.6592 7.405000e-01 2.585120e-01 6.637973e-04 999.0000 
 0.5150 6 # agb_0.515_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9167 3.6438 0.51500 0.49802 0.5366 1.7446e+01 1 2.0606e-12 3.6438 7.405000e-01 2.585160e-01 6.637973e-04 -0.0779 
2.6024e+05 3.0695 3.6330 0.51500 0.49965 0.5366 2.4972e+01 1 2.0606e-12 3.6330 7.405000e-01 2.585160e-01 6.637973e-04 -0.0806 
5.7872e+05 3.1194 3.6323 0.51500 0.50223 0.5366 2.7501e+01 1 2.0606e-12 3.6323 7.405000e-01 2.585160e-01 6.637973e-04 -0.0801 
9.3299e+05 3.2054 3.6322 0.51500 0.50587 0.5366 3.2203e+01 1 2.0606e-12 3.6322 7.405000e-01 2.585160e-01 6.637973e-04 -0.0776 
1.3380e+06 3.2590 3.6479 0.51500 0.51140 0.5366 3.1684e+01 1 2.0606e-12 3.6479 7.405000e-01 2.585160e-01 6.637973e-04 -0.0714 
1.5326e+06 3.2673 3.6603 0.51500 0.51299 0.5366 2.9366e+01 1 2.0606e-12 3.6603 7.405000e-01 2.585160e-01 6.637973e-04 999.0000 
 0.5200 6 # agb_0.520_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0516 3.6293 0.52000 0.49869 0.5349 2.4711e+01 1 2.0797e-12 3.6293 7.404000e-01 2.586250e-01 6.639447e-04 -0.0813 
2.5570e+05 3.1749 3.6209 0.52000 0.50068 0.5349 3.2938e+01 1 2.0797e-12 3.6209 7.404000e-01 2.586250e-01 6.639447e-04 -0.0813 
5.8550e+05 3.2159 3.6214 0.52000 0.50414 0.5349 3.5352e+01 1 2.0797e-12 3.6214 7.404000e-01 2.586250e-01 6.639447e-04 -0.0833 
8.2603e+05 3.2812 3.6191 0.52000 0.50622 0.5349 8.3704e+01 0 2.0797e-12 3.6191 7.404000e-01 2.586250e-01 6.639447e-04 -0.0833 
9.5906e+05 3.2885 3.6239 0.52000 0.50922 0.5349 8.1505e+01 0 2.0797e-12 3.6239 7.404000e-01 2.586250e-01 6.639447e-04 -0.0825 
1.3149e+06 3.3660 3.6359 0.52000 0.51497 0.5349 8.7110e+01 0 2.0797e-12 3.6359 7.404000e-01 2.586250e-01 6.639447e-04 999.0000 
 0.5250 6 # agb_0.525_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0358 3.6277 0.52500 0.49881 0.5214 2.4177e+01 1 2.0989e-12 3.6277 7.403000e-01 2.587090e-01 6.648358e-04 -0.0823 
2.5061e+05 3.1731 3.6174 0.52500 0.50068 0.5214 3.3507e+01 1 2.0989e-12 3.6174 7.403000e-01 2.587090e-01 6.648358e-04 -0.0850 
5.7528e+05 3.2194 3.6162 0.52500 0.50392 0.5214 7.4229e+01 0 2.0989e-12 3.6162 7.403000e-01 2.587090e-01 6.648358e-04 -0.0843 
9.4295e+05 3.2882 3.6160 0.52500 0.50868 0.5214 8.6655e+01 0 2.0989e-12 3.6160 7.403000e-01 2.587090e-01 6.648358e-04 -0.0829 
1.3358e+06 3.3511 3.6226 0.52500 0.51525 0.5214 9.4059e+01 0 2.0989e-12 3.6226 7.403000e-01 2.587090e-01 6.648358e-04 -0.0787 
1.6063e+06 3.4046 3.6325 0.52500 0.51950 0.5214 9.7003e+01 0 2.5003e-12 3.6325 7.403000e-01 2.587090e-01 6.648358e-04 999.0000 
 0.5300 7 # agb_0.530_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1227 3.6189 0.53000 0.50044 0.4632 3.0079e+01 1 2.1184e-12 3.6189 7.401000e-01 2.588960e-01 6.679484e-04 -0.0836 
2.5473e+05 3.2040 3.6132 0.53000 0.50268 0.4632 7.3003e+01 0 2.1184e-12 3.6132 7.401000e-01 2.588960e-01 6.679484e-04 -0.0836 
5.3657e+05 3.2913 3.6085 0.53000 0.50563 0.4632 9.2558e+01 0 2.1184e-12 3.6085 7.401000e-01 2.588960e-01 6.679484e-04 -0.0859 
5.6906e+05 3.2826 3.6097 0.53000 0.50630 0.4632 8.9800e+01 0 2.1184e-12 3.6097 7.401000e-01 2.588960e-01 6.679484e-04 -0.0859 
9.4037e+05 3.3461 3.6104 0.53000 0.51201 0.4632 1.0279e+02 0 4.7973e-12 3.6104 7.401000e-01 2.588960e-01 6.679484e-04 -0.0850 
1.3316e+06 3.4025 3.6192 0.53000 0.51978 0.4632 1.0783e+02 0 8.2224e-12 3.6192 7.401000e-01 2.588960e-01 6.679484e-04 -0.0850 
1.5993e+06 3.4599 3.6323 0.52999 0.52484 0.4632 1.0900e+02 0 9.2470e-12 3.6323 7.401000e-01 2.588960e-01 6.679484e-04 999.0000 
 0.5400 8 # agb_0.540_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1943 3.6099 0.54000 0.50256 0.4072 3.6279e+01 1 2.1577e-12 3.6099 7.397000e-01 2.593170e-01 6.709120e-04 -0.0854 
2.3793e+05 3.2874 3.6030 0.54000 0.50487 0.4072 9.4761e+01 0 2.1577e-12 3.6030 7.397000e-01 2.593170e-01 6.709120e-04 -0.0854 
4.8346e+05 3.3357 3.6006 0.54000 0.50745 0.4072 1.0783e+02 0 8.0724e-12 3.6006 7.397000e-01 2.593170e-01 6.709120e-04 -0.0873 
5.6446e+05 3.3332 3.6020 0.54000 0.50932 0.4072 1.0589e+02 0 6.5917e-12 3.6020 7.397000e-01 2.593170e-01 6.709120e-04 -0.0873 
9.3820e+05 3.3910 3.6029 0.53999 0.51610 0.4072 1.1956e+02 0 2.4774e-11 3.6029 7.397000e-01 2.593170e-01 6.709120e-04 -0.0858 
1.3057e+06 3.4540 3.6080 0.53998 0.52436 0.4072 1.3147e+02 0 6.6681e-11 3.6080 7.397000e-01 2.593170e-01 6.709120e-04 -0.0858 
1.6519e+06 3.5099 3.6268 0.53996 0.53370 0.4072 1.2584e+02 0 4.2462e-11 3.6268 7.397000e-01 2.593170e-01 6.709120e-04 -0.0852 
1.7544e+06 3.3003 3.6413 0.53996 0.53487 0.4072 3.4990e+01 1 2.1577e-12 3.6413 7.397000e-01 2.593170e-01 6.709120e-04 999.0000 
 0.5500 9 # agb_0.550_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9977 3.6234 0.55000 0.50075 0.4199 2.2716e+01 1 2.1979e-12 3.6234 7.399000e-01 2.591650e-01 6.702441e-04 -0.0851 
2.4889e+05 3.1542 3.6104 0.55000 0.50260 0.4199 3.3286e+01 1 2.1979e-12 3.6104 7.399000e-01 2.591650e-01 6.702441e-04 -0.0878 
5.6745e+05 3.1958 3.6081 0.55000 0.50575 0.4199 3.6509e+01 1 2.1979e-12 3.6081 7.399000e-01 2.591650e-01 6.702441e-04 -0.0876 
9.2186e+05 3.2798 3.6028 0.55000 0.51027 0.4199 9.1798e+01 0 2.1979e-12 3.6028 7.399000e-01 2.591650e-01 6.702441e-04 -0.0878 
1.3212e+06 3.3322 3.6021 0.55000 0.51709 0.4199 1.0378e+02 0 5.1642e-12 3.6021 7.399000e-01 2.591650e-01 6.702441e-04 -0.0864 
1.6942e+06 3.4013 3.6025 0.54999 0.52492 0.4199 1.2067e+02 0 2.6915e-11 3.6025 7.399000e-01 2.591650e-01 6.702441e-04 -0.0849 
2.0282e+06 3.4783 3.6064 0.54996 0.53321 0.4199 1.3850e+02 0 1.1117e-10 3.6064 7.399000e-01 2.591650e-01 6.702441e-04 -0.0786 
2.3554e+06 3.5266 3.6251 0.54992 0.54307 0.4199 1.3051e+02 0 6.0954e-11 3.6251 7.399000e-01 2.591650e-01 6.702441e-04 -0.0677 
2.4748e+06 3.4844 3.6330 0.54991 0.54487 0.4199 1.1075e+02 0 1.0666e-11 3.6330 7.399000e-01 2.591650e-01 6.702441e-04 999.0000 
 0.5600 8 # agb_0.560_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2006 3.6046 0.56000 0.50405 0.3710 3.7450e+01 1 2.2387e-12 3.6046 7.391000e-01 2.598890e-01 6.727348e-04 -0.0876 
2.3884e+05 3.2858 3.5982 0.56000 0.50647 0.3710 9.5394e+01 0 2.2387e-12 3.5982 7.391000e-01 2.598890e-01 6.727348e-04 -0.0896 
5.6098e+05 3.3344 3.5955 0.56000 0.51104 0.3710 1.0892e+02 0 8.7297e-12 3.5955 7.391000e-01 2.598890e-01 6.727348e-04 -0.0890 
9.3113e+05 3.3915 3.5937 0.55999 0.51801 0.3710 1.2569e+02 0 4.0644e-11 3.5937 7.391000e-01 2.598890e-01 6.727348e-04 -0.0875 
1.2918e+06 3.4581 3.5937 0.55995 0.52639 0.3710 1.4595e+02 0 1.8450e-10 3.5937 7.391000e-01 2.598890e-01 6.727348e-04 -0.0859 
1.6306e+06 3.5158 3.5969 0.55985 0.53581 0.3710 1.6125e+02 0 4.7973e-10 3.5969 7.391000e-01 2.598890e-01 6.727348e-04 -0.0818 
1.9421e+06 3.5628 3.6074 0.55970 0.54589 0.3710 1.6311e+02 0 5.3456e-10 3.6074 7.391000e-01 2.598890e-01 6.727348e-04 -0.0735 
2.1815e+06 3.6138 3.6272 0.55962 0.55394 0.3710 1.5325e+02 0 2.9580e-10 3.6272 7.391000e-01 2.598890e-01 6.727348e-04 999.0000 
 0.5700 10 # agb_0.570_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0081 3.6202 0.57000 0.50294 0.3986 2.3278e+01 1 2.2803e-12 3.6202 7.396000e-01 2.594630e-01 6.714069e-04 -0.0852 
2.3778e+05 3.1800 3.6050 0.57000 0.50475 0.3986 3.5642e+01 1 2.2803e-12 3.6050 7.396000e-01 2.594630e-01 6.714069e-04 -0.0883 
5.4659e+05 3.2300 3.6015 0.57000 0.50792 0.3986 8.0447e+01 0 2.2803e-12 3.6015 7.396000e-01 2.594630e-01 6.714069e-04 -0.0890 
9.1004e+05 3.2905 3.5980 0.57000 0.51293 0.3986 9.5063e+01 0 2.2803e-12 3.5980 7.396000e-01 2.594630e-01 6.714069e-04 -0.0896 
1.2819e+06 3.3637 3.5938 0.56999 0.51948 0.3986 1.1613e+02 0 1.7298e-11 3.5938 7.396000e-01 2.594630e-01 6.714069e-04 -0.0885 
1.6441e+06 3.4344 3.5916 0.56998 0.52747 0.3986 1.3872e+02 0 1.1015e-10 3.5916 7.396000e-01 2.594630e-01 6.714069e-04 -0.0859 
1.9866e+06 3.4927 3.5927 0.56989 0.53667 0.3986 1.5647e+02 0 3.5727e-10 3.5927 7.396000e-01 2.594630e-01 6.714069e-04 -0.0850 
2.2871e+06 3.5551 3.5964 0.56969 0.54599 0.3986 1.7415e+02 0 9.6828e-10 3.5964 7.396000e-01 2.594630e-01 6.714069e-04 -0.0771 
2.5629e+06 3.6069 3.6072 0.56942 0.55586 0.3986 1.7752e+02 0 1.1508e-09 3.6072 7.396000e-01 2.594630e-01 6.714069e-04 -0.0695 
2.7760e+06 3.6495 3.6283 0.56929 0.56379 0.3986 1.6183e+02 0 4.9091e-10 3.6283 7.396000e-01 2.594630e-01 6.714069e-04 999.0000 
 0.5800 11 # agb_0.580_Z0.00100000_Mdot50_eta0.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0233 3.6182 0.58000 0.50438 0.3969 2.4077e+01 1 2.3174e-12 3.6182 7.395000e-01 2.594760e-01 6.713528e-04 -0.0856 
2.3811e+05 3.1794 3.6042 0.58000 0.50627 0.3969 3.5495e+01 1 2.3174e-12 3.6042 7.395000e-01 2.594760e-01 6.713528e-04 -0.0887 
5.4402e+05 3.2301 3.6005 0.58000 0.50953 0.3969 7.9952e+01 0 2.3174e-12 3.6005 7.395000e-01 2.594760e-01 6.713528e-04 -0.0892 
9.0404e+05 3.2903 3.5967 0.58000 0.51468 0.3969 9.4584e+01 0 2.3174e-12 3.5967 7.395000e-01 2.594760e-01 6.713528e-04 -0.0900 
1.2701e+06 3.3670 3.5921 0.57999 0.52135 0.3969 1.1698e+02 0 1.8450e-11 3.5921 7.395000e-01 2.594760e-01 6.713528e-04 -0.0896 
