# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5050 3 # agb_0.505_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9260 3.6129 0.50500 0.49423 0.5173 2.2468e+01 1 1.0666e-08 3.6129 7.308000e-01 2.653090e-01 2.635824e-03 -0.0866 
2.2250e+05 3.0766 3.6105 0.50179 0.49553 0.5173 3.0220e+01 1 2.2803e-08 3.6105 7.308000e-01 2.653090e-01 2.635824e-03 -0.0848 
4.2562e+05 3.1124 3.6291 0.49906 0.49668 0.5173 2.8241e+01 1 2.6182e-08 3.6291 7.308000e-01 2.653090e-01 2.635824e-03 999.0000 
 0.5100 3 # agb_0.510_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0183 3.5996 0.51000 0.49520 0.5180 2.9176e+01 1 1.7100e-08 3.5996 7.308000e-01 2.653050e-01 2.635448e-03 -0.0881 
2.1886e+05 3.1797 3.5981 0.50486 0.49681 0.5180 8.2656e+01 0 3.9902e-08 3.5981 7.308000e-01 2.653050e-01 2.635448e-03 -0.0867 
4.2511e+05 3.2070 3.6264 0.50051 0.49833 0.5180 6.8786e+01 0 4.2364e-08 3.6264 7.308000e-01 2.653050e-01 2.635448e-03 999.0000 
 0.5150 6 # agb_0.515_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8853 3.6058 0.51500 0.49374 0.5176 2.1750e+01 1 8.6099e-09 3.6058 7.308000e-01 2.652540e-01 2.635666e-03 -0.0896 
2.2957e+05 3.0000 3.5985 0.51238 0.49495 0.5176 2.8382e+01 1 1.5524e-08 3.5985 7.308000e-01 2.652540e-01 2.635666e-03 -0.0896 
4.0593e+05 3.0495 3.5967 0.51073 0.49568 0.5176 6.1947e+01 0 2.0137e-08 3.5967 7.308000e-01 2.652540e-01 2.635666e-03 -0.0875 
4.8300e+05 3.0417 3.6007 0.50911 0.49652 0.5176 3.0240e+01 1 1.9231e-08 3.6007 7.308000e-01 2.652540e-01 2.635666e-03 -0.0875 
7.6530e+05 3.0717 3.6110 0.50496 0.49859 0.5176 2.9747e+01 1 2.1979e-08 3.6110 7.308000e-01 2.652540e-01 2.635666e-03 -0.0890 
9.8330e+05 3.1008 3.6311 0.50220 0.49990 0.5176 2.7158e+01 1 2.4322e-08 3.6311 7.308000e-01 2.652540e-01 2.635666e-03 999.0000 
 0.5200 5 # agb_0.520_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9259 3.5997 0.52000 0.49475 0.4182 2.4373e+01 1 1.0471e-08 3.5997 7.303000e-01 2.658290e-01 2.657496e-03 -0.0908 
2.1845e+05 3.0674 3.5895 0.51710 0.49597 0.4182 6.7979e+01 0 2.2029e-08 3.5895 7.303000e-01 2.658290e-01 2.657496e-03 -0.0893 
4.8200e+05 3.0790 3.5947 0.51284 0.49785 0.4182 6.7084e+01 0 2.3335e-08 3.5947 7.303000e-01 2.658290e-01 2.657496e-03 -0.0883 
7.6724e+05 3.1068 3.6057 0.50764 0.50023 0.4182 6.5342e+01 0 2.6485e-08 3.6057 7.303000e-01 2.658290e-01 2.657496e-03 -0.0860 
9.1243e+05 3.0709 3.6150 0.50618 0.50080 0.4182 2.8808e+01 1 2.1577e-08 3.6150 7.303000e-01 2.658290e-01 2.657496e-03 999.0000 
 0.5250 5 # agb_0.525_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9385 3.5961 0.52500 0.49515 0.4698 2.5487e+01 1 1.1041e-08 3.5961 7.306000e-01 2.654460e-01 2.646668e-03 -0.0914 
2.2836e+05 3.0355 3.5897 0.52178 0.49651 0.4698 6.2683e+01 0 1.8450e-08 3.5897 7.306000e-01 2.654460e-01 2.646668e-03 -0.0906 
4.8013e+05 3.0866 3.5896 0.51766 0.49830 0.4698 7.0834e+01 0 2.4266e-08 3.5896 7.306000e-01 2.654460e-01 2.646668e-03 -0.0894 
7.6446e+05 3.1166 3.5967 0.51225 0.50073 0.4698 7.1764e+01 0 2.8184e-08 3.5967 7.306000e-01 2.654460e-01 2.646668e-03 -0.0883 
1.0005e+06 3.1571 3.6080 0.50809 0.50253 0.4698 7.1511e+01 0 3.3884e-08 3.6080 7.306000e-01 2.654460e-01 2.646668e-03 999.0000 
 0.5300 4 # agb_0.530_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0465 3.5850 0.53000 0.49735 0.4305 6.6059e+01 0 1.9275e-08 3.5850 7.304000e-01 2.656810e-01 2.654798e-03 -0.0931 
2.1307e+05 3.1876 3.5756 0.52487 0.49897 0.4305 9.9328e+01 0 4.2170e-08 3.5756 7.304000e-01 2.656810e-01 2.654798e-03 -0.0919 
4.7889e+05 3.1975 3.5850 0.51682 0.50164 0.4305 9.4686e+01 0 4.4055e-08 3.5850 7.304000e-01 2.656810e-01 2.654798e-03 -0.0897 
7.2511e+05 3.2548 3.6035 0.50941 0.50420 0.4305 9.2399e+01 0 5.7016e-08 3.6035 7.304000e-01 2.656810e-01 2.654798e-03 999.0000 
 0.5400 7 # agb_0.540_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9390 3.5917 0.54000 0.49749 0.3677 2.5968e+01 1 1.0691e-08 3.5917 7.296000e-01 2.664880e-01 2.667411e-03 -0.0927 
1.4512e+05 3.0634 3.5804 0.53864 0.49804 0.3677 7.0427e+01 0 2.0749e-08 3.5804 7.296000e-01 2.664880e-01 2.667411e-03 -0.0927 
2.2327e+05 3.0340 3.5843 0.53692 0.49884 0.3677 6.3920e+01 0 1.7742e-08 3.5843 7.296000e-01 2.664880e-01 2.667411e-03 -0.0940 
4.7136e+05 3.0714 3.5832 0.53302 0.50063 0.3677 7.0610e+01 0 2.1827e-08 3.5832 7.296000e-01 2.664880e-01 2.667411e-03 -0.0940 
7.4627e+05 3.1148 3.5837 0.52786 0.50298 0.3677 7.8111e+01 0 2.7669e-08 3.5837 7.296000e-01 2.664880e-01 2.667411e-03 -0.0926 
1.0481e+06 3.1467 3.5900 0.52113 0.50602 0.3677 8.0268e+01 0 3.2659e-08 3.5900 7.296000e-01 2.664880e-01 2.667411e-03 -0.0926 
1.3284e+06 3.1891 3.6072 0.51440 0.50892 0.3677 7.6565e+01 0 3.9264e-08 3.6072 7.296000e-01 2.664880e-01 2.667411e-03 999.0000 
 0.5500 7 # agb_0.550_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0014 3.5838 0.55000 0.49938 0.3735 3.0553e+01 1 1.4454e-08 3.5838 7.296000e-01 2.664250e-01 2.666467e-03 -0.0948 
2.0852e+05 3.1281 3.5728 0.54640 0.50077 0.3735 8.6004e+01 0 2.9040e-08 3.5728 7.296000e-01 2.664250e-01 2.666467e-03 -0.0948 
4.1367e+05 3.1636 3.5711 0.54269 0.50223 0.3735 9.5118e+01 0 3.5563e-08 3.5711 7.296000e-01 2.664250e-01 2.666467e-03 -0.0952 
4.6333e+05 3.1439 3.5742 0.54090 0.50298 0.3735 8.8809e+01 0 3.1915e-08 3.5742 7.296000e-01 2.664250e-01 2.666467e-03 -0.0952 
7.3504e+05 3.1889 3.5750 0.53409 0.50572 0.3735 9.8604e+01 0 4.1210e-08 3.5750 7.296000e-01 2.664250e-01 2.666467e-03 -0.0954 
1.0456e+06 3.2090 3.5857 0.52444 0.50953 0.3735 9.5273e+01 0 4.5499e-08 3.5857 7.296000e-01 2.664250e-01 2.666467e-03 -0.0954 
1.2866e+06 3.2502 3.6058 0.51720 0.51218 0.3735 8.8437e+01 0 5.3703e-08 3.6058 7.296000e-01 2.664250e-01 2.666467e-03 999.0000 
 0.5600 8 # agb_0.560_Z0.00400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9808 3.5845 0.56000 0.50116 0.3707 2.9010e+01 1 1.2618e-08 3.5845 7.293000e-01 2.667450e-01 2.667443e-03 -0.0950 
2.0935e+05 3.0935 3.5742 0.55675 0.50254 0.3707 7.7327e+01 0 2.3335e-08 3.5742 7.293000e-01 2.667450e-01 2.667443e-03 -0.0950 
