# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
0.5050 3 # agb_0.505_Z0.00400000_Mdot43_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8339 3.6185 0.50500 0.49279 0.5183 1.8225e+01 1 1.3583e-08 3.6185 7.308000e-01 2.652810e-01 2.635234e-03 -0.0881
2.1316e+05 3.0860 3.6106 0.49972 0.49394 0.5183 6.0502e+01 0 4.8195e-08 3.6106 7.308000e-01 2.652810e-01 2.635234e-03 -0.0845
3.7607e+05 3.1007 3.6396 0.49627 0.49469 0.5183 2.5673e+01 1 4.8529e-08 3.6396 7.308000e-01 2.652810e-01 2.635234e-03 999999.0000
0.5100 3 # agb_0.510_Z0.00400000_Mdot43_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.9937 3.6017 0.51000 0.49542 0.5180 2.7479e+01 1 3.0061e-08 3.6017 7.308000e-01 2.653050e-01 2.635448e-03 -0.0888
2.2033e+05 3.1797 3.6156 0.50058 0.49710 0.5180 7.1236e+01 0 7.6208e-08 3.6156 7.308000e-01 2.653050e-01 2.635448e-03 -0.0850
3.2829e+05 2.9925 3.6510 0.49878 0.49745 0.5180 1.9323e+01 1 2.7797e-08 3.6510 7.308000e-01 2.653050e-01 2.635448e-03 999999.0000
0.5150 3 # agb_0.515_Z0.00400000_Mdot43_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8421 3.6093 0.51500 0.49392 0.5176 1.9584e+01 1 1.3900e-08 3.6093 7.308000e-01 2.652540e-01 2.635666e-03 -0.0899
2.1341e+05 3.0889 3.5936 0.50953 0.49511 0.5176 6.9700e+01 0 4.9888e-08 3.5936 7.308000e-01 2.652540e-01 2.635666e-03 -0.0886
4.6616e+05 3.2017 3.6294 0.49898 0.49705 0.5176 6.6332e+01 0 8.2035e-08 3.6294 7.308000e-01 2.652540e-01 2.635666e-03 999999.0000
0.5200 4 # agb_0.520_Z0.00400000_Mdot43_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8580 3.6046 0.52000 0.49360 0.5120 2.0773e+01 1 1.4894e-08 3.6046 7.307000e-01 2.653580e-01 2.637391e-03 -0.0906
