# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5050 3 # agb_0.505_Z0.00600000_Mdot49_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9618 3.5930 0.50500 0.49099 0.5113 2.7764e+01 1 1.9320e-08 3.5930 7.242000e-01 2.699240e-01 3.960051e-03 -0.0892 
2.0803e+05 3.1133 3.5900 0.50055 0.49225 0.5113 7.7215e+01 0 3.3343e-08 3.5900 7.242000e-01 2.699240e-01 3.960051e-03 -0.0875 
4.1810e+05 3.1536 3.6147 0.49606 0.49367 0.5113 6.8323e+01 0 3.4514e-08 3.6147 7.242000e-01 2.699240e-01 3.960051e-03 999.0000 
 0.5100 4 # agb_0.510_Z0.00600000_Mdot49_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0105 3.5842 0.51000 0.49179 0.5111 6.3573e+01 0 2.3550e-08 3.5842 7.242000e-01 2.698520e-01 3.960278e-03 -0.0907 
2.0884e+05 3.1427 3.5811 0.50480 0.49320 0.5111 8.8648e+01 0 3.8107e-08 3.5811 7.242000e-01 2.698520e-01 3.960278e-03 -0.0902 
4.5133e+05 3.1787 3.6074 0.49805 0.49532 0.5111 7.6846e+01 0 3.8726e-08 3.6074 7.242000e-01 2.698520e-01 3.960278e-03 -0.0835 
4.7559e+05 2.6542 3.6525 0.49769 0.49541 0.5111 1.0303e+01 1 5.1404e-09 3.6525 7.242000e-01 2.698520e-01 3.960278e-03 999.0000 
 0.5150 4 # agb_0.515_Z0.00600000_Mdot49_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0205 3.5794 0.51500 0.49205 0.5083 6.7275e+01 0 2.4660e-08 3.5794 7.242000e-01 2.699720e-01 3.961820e-03 -0.0919 
2.1568e+05 3.1218 3.5772 0.50919 0.49360 0.5083 8.6901e+01 0 3.5727e-08 3.5772 7.242000e-01 2.699720e-01 3.961820e-03 -0.0922 
4.5375e+05 3.1787 3.5912 0.50210 0.49573 0.5083 8.8144e+01 0 4.1400e-08 3.5912 7.242000e-01 2.699720e-01 3.961820e-03 -0.0867 
6.0660e+05 3.2034 3.6114 0.49913 0.49662 0.5083 7.8177e+01 0 4.1305e-08 3.6114 7.242000e-01 2.699720e-01 3.961820e-03 999.0000 
 0.5200 4 # agb_0.520_Z0.00600000_Mdot49_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0203 3.5770 0.52000 0.49304 0.4969 6.8063e+01 0 2.4660e-08 3.5770 7.241000e-01 2.700120e-01 3.966141e-03 -0.0928 
2.0798e+05 3.1492 3.5703 0.51442 0.49452 0.4969 9.7361e+01 0 4.0179e-08 3.5703 7.241000e-01 2.700120e-01 3.966141e-03 -0.0932 
4.5220e+05 3.1689 3.5825 0.50683 0.49678 0.4969 9.2465e+01 0 4.1305e-08 3.5825 7.241000e-01 2.700120e-01 3.966141e-03 -0.0902 
