# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
0.5100 3 # agb_0.510_Z0.00600000_Mdot43_eta2.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8382 3.6000 0.51000 0.49201 0.5111 2.0927e+01 1 2.8184e-08 3.6000 7.242000e-01 2.698520e-01 3.960278e-03 -0.0908
2.0863e+05 3.0753 3.6017 0.49849 0.49323 0.5111 6.4167e+01 0 9.4189e-08 3.6017 7.242000e-01 2.698520e-01 3.960278e-03 -0.0861
3.1806e+05 3.0019 3.6314 0.49531 0.49357 0.5111 2.2774e+01 1 6.1094e-08 3.6314 7.242000e-01 2.698520e-01 3.960278e-03 999999.0000
0.5150 3 # agb_0.515_Z0.00600000_Mdot43_eta2.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8526 3.5952 0.51500 0.49227 0.5083 2.2133e+01 1 3.0061e-08 3.5952 7.242000e-01 2.699720e-01 3.961820e-03 -0.0916
2.0979e+05 3.0761 3.5902 0.50293 0.49353 0.5083 7.0614e+01 0 9.6605e-08 3.5902 7.242000e-01 2.699720e-01 3.961820e-03 -0.0876
3.5689e+05 3.1408 3.6213 0.49610 0.49421 0.5083 6.2564e+01 0 1.2474e-07 3.6213 7.242000e-01 2.699720e-01 3.961820e-03 999999.0000
0.5200 3 # agb_0.520_Z0.00600000_Mdot43_eta2.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8564 3.5926 0.52000 0.49314 0.4969 2.2622e+01 1 3.0339e-08 3.5926 7.241000e-01 2.700120e-01 3.966141e-03 -0.0923
2.0390e+05 3.0920 3.5817 0.50826 0.49436 0.4969 7.8203e+01 0 1.0593e-07 3.5817 7.241000e-01 2.700120e-01 3.966141e-03 -0.0905
3.7671e+05 3.1829 3.6187 0.49732 0.49538 0.4969 7.0225e+01 0 1.5524e-07 3.6187 7.241000e-01 2.700120e-01 3.966141e-03 999999.0000
