# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
0.5000 3 # agb_0.500_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8744 3.5992 0.50000 0.49090 0.5050 2.2725e+01 1 8.6896e-09 3.5992 7.168000e-01 2.753060e-01 5.289994e-03 -0.0890
1.8502e+05 3.1204 3.5901 0.49723 0.49199 0.5050 7.8868e+01 0 3.0974e-08 3.5901 7.168000e-01 2.753060e-01 5.289994e-03 -0.0861
3.4242e+05 3.1601 3.6094 0.49495 0.49287 0.5050 7.2840e+01 0 3.5892e-08 3.6094 7.168000e-01 2.753060e-01 5.289994e-03 999999.0000
0.5050 4 # agb_0.505_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8577 3.5935 0.50500 0.49098 0.5051 2.2850e+01 1 7.9799e-09 3.5935 7.169000e-01 2.752770e-01 5.290286e-03 -0.0912
1.9051e+05 3.1062 3.5776 0.50220 0.49209 0.5051 8.4691e+01 0 2.9512e-08 3.5776 7.169000e-01 2.752770e-01 5.290286e-03 -0.0897
4.0872e+05 3.2101 3.5937 0.49713 0.49379 0.5051 9.3348e+01 0 4.8865e-08 3.5937 7.169000e-01 2.752770e-01 5.290286e-03 -0.0852
5.2641e+05 3.0497 3.6313 0.49555 0.49437 0.5051 2.4877e+01 1 1.9275e-08 3.6313 7.169000e-01 2.752770e-01 5.290286e-03 999999.0000
0.5100 4 # agb_0.510_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8752 3.5865 0.51000 0.49063 0.5050 2.4720e+01 1 8.6896e-09 3.5865 7.169000e-01 2.752680e-01 5.291134e-03 -0.0932
1.9810e+05 3.0997 3.5700 0.50690 0.49183 0.5050 8.8573e+01 0 2.8840e-08 3.5700 7.169000e-01 2.752680e-01 5.291134e-03 -0.0932
4.1666e+05 3.2090 3.5750 0.50150 0.49356 0.5050 1.0912e+02 0 5.1404e-08 3.5750 7.169000e-01 2.752680e-01 5.291134e-03 -0.0899
6.0139e+05 3.2738 3.6069 0.49693 0.49498 0.5050 9.5694e+01 0 6.5013e-08 3.6069 7.169000e-01 2.752680e-01 5.291134e-03 999999.0000
0.5150 4 # agb_0.515_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8561 3.5858 0.51500 0.49182 0.5016 2.3866e+01 1 7.7983e-09 3.5858 7.168000e-01 2.753530e-01 5.292834e-03 -0.0936
1.9256e+05 3.0984 3.5655 0.51215 0.49296 0.5016 9.1111e+01 0 2.8642e-08 3.5655 7.168000e-01 2.753530e-01 5.292834e-03 -0.0932
4.0548e+05 3.2122 3.5650 0.50696 0.49463 0.5016 1.1905e+02 0 5.3333e-08 3.5650 7.168000e-01 2.753530e-01 5.292834e-03 -0.0928
6.3160e+05 3.3055 3.6056 0.49885 0.49685 0.5016 1.0355e+02 0 7.6736e-08 3.6056 7.168000e-01 2.753530e-01 5.292834e-03 999999.0000
0.5200 5 # agb_0.520_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.8854 3.5799 0.52000 0.49169 0.4864 2.6177e+01 1 8.9950e-09 3.5799 7.167000e-01 2.753790e-01 5.300042e-03 -0.0957
1.8756e+05 3.1169 3.5590 0.51712 0.49281 0.4864 9.9747e+01 0 3.1769e-08 3.5590 7.167000e-01 2.753790e-01 5.300042e-03 -0.0962
4.1158e+05 3.2175 3.5576 0.51126 0.49465 0.4864 1.2770e+02 0 5.5719e-08 3.5576 7.167000e-01 2.753790e-01 5.300042e-03 -0.0946
6.5985e+05 3.2946 3.5885 0.50081 0.49733 0.4864 1.1726e+02 0 7.6913e-08 3.5885 7.167000e-01 2.753790e-01 5.300042e-03 -0.0903
7.8068e+05 3.1348 3.6258 0.49918 0.49792 0.4864 5.8996e+01 0 2.9512e-08 3.6258 7.167000e-01 2.753790e-01 5.300042e-03 999999.0000
0.5250 5 # agb_0.525_Z0.00800000_Mdot42_eta1.00_Mc0.00_dMc-0.04_L0.00_dL0.00_C0.00_Nr5.00_rates0_KOPv_KMOLv.dat
0.0000e+00 2.9175 3.5756 0.52500 0.49389 0.4673 2.8507e+01 1 1.0495e-08 3.5756 7.167000e-01 2.754550e-01 5.308926e-03 -0.0971
1.9162e+05 3.1312 3.5563 0.52152 0.49518 0.4673 1.0463e+02 0 3.4119e-08 3.5563 7.167000e-01 2.754550e-01 5.308926e-03 -0.0974
4.0648e+05 3.2360 3.5545 0.51513 0.49707 0.4673 1.3592e+02 0 6.1518e-08 3.5545 7.167000e-01 2.754550e-01 5.308926e-03 -0.0973
