# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5400 3 # agb_0.540_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1524 3.5224 0.54000 0.49723 1.4396e+02 0 1.5453e-07 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 -0.1146 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03
1.4799e+05 3.2611 3.5609 0.50507 0.49890 1.3817e+02 0 4.2756e-07 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 -0.1173 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03
1.7208e+05 2.7766 3.6033 0.50395 0.49890 1.8361e+01 1 5.4075e-08 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5500 3 # agb_0.550_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1217 3.5228 0.55000 0.49870 1.3176e+02 0 1.2706e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 -0.1173 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03
1.4574e+05 3.2541 3.5286 0.52101 0.50032 1.7656e+02 0 3.0130e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 -0.1215 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03
2.3284e+05 3.3029 3.5623 0.50639 0.50095 1.4941e+02 0 5.3951e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5600 3 # agb_0.560_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2424 3.5050 0.56000 0.50078 1.9897e+02 0 2.0559e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 -0.1235 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03
1.4208e+05 3.3302 3.5222 0.52330 0.50265 2.2074e+02 0 4.3152e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 -0.1254 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03
2.2063e+05 3.3409 3.5614 0.50846 0.50326 1.6337e+02 0 6.5313e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5700 3 # agb_0.570_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3329 3.4915 0.57000 0.50405 2.7049e+02 0 2.9648e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 -0.1282 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03
1.3830e+05 3.3802 3.5217 0.52506 0.50616 2.4720e+02 0 5.6364e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 -0.1282 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03
2.0578e+05 3.3524 3.5600 0.51217 0.50668 1.6873e+02 0 6.7920e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5800 3 # agb_0.580_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2491 3.5002 0.58000 0.50316 2.0426e+02 0 1.9275e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 -0.1276 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03
1.3933e+05 3.3401 3.5019 0.54691 0.50507 2.6008e+02 0 3.6058e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 -0.1306 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03
2.5269e+05 3.4225 3.5593 0.51181 0.50662 1.9859e+02 0 9.9312e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.5900 5 # agb_0.590_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1266 3.5156 0.59000 0.50242 1.3339e+02 0 1.0814e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1234 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03
1.4020e+05 3.2806 3.4999 0.56639 0.50409 2.2461e+02 0 2.3933e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1234 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03
2.3288e+05 3.3418 3.4978 0.55344 0.50494 2.6782e+02 0 3.4514e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1312 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03
2.9273e+05 3.3252 3.5221 0.52802 0.50641 2.1670e+02 0 4.1305e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1312 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03
3.7461e+05 3.3420 3.5626 0.51216 0.50712 1.6100e+02 0 6.5464e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
 0.6000 4 # agb_0.600_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2416 3.4988 0.60000 0.50457 1.9727e+02 0 1.7179e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1301 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03
1.3768e+05 3.3411 3.4918 0.57043 0.50649 2.7462e+02 0 3.1046e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1349 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03
2.8847e+05 3.3888 3.5514 0.51647 0.50921 1.9613e+02 0 7.6384e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1267 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03
3.0540e+05 2.8433 3.5984 0.51448 0.50922 2.1280e+01 1 6.8391e-08 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om
