# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5000 4 # agb_0.500_Z0.01400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.8791 3.5775 0.50000 0.48887 0.4936 5.1217e+01 0 9.3541e-09 3.5775 6.988000e-01 2.873880e-01 9.288512e-03 -0.0930 
1.5976e+05 2.9973 3.5755 0.49694 0.48977 0.4936 6.8301e+01 0 1.7258e-08 3.5755 6.988000e-01 2.873880e-01 9.288512e-03 -0.0914 
3.2333e+05 3.0377 3.5862 0.49453 0.49079 0.4936 6.8225e+01 0 2.0701e-08 3.5862 6.988000e-01 2.873880e-01 9.288512e-03 -0.0851 
4.3815e+05 3.0616 3.5985 0.49336 0.49129 0.4936 6.4604e+01 0 2.2542e-08 3.5985 6.988000e-01 2.873880e-01 9.288512e-03 999.0000 
 0.5050 4 # agb_0.505_Z0.01400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9411 3.5659 0.50500 0.49011 0.4936 6.4692e+01 0 1.3002e-08 3.5659 6.988000e-01 2.874100e-01 9.289550e-03 -0.0968 
1.5695e+05 3.0637 3.5627 0.50114 0.49113 0.4936 8.8122e+01 0 2.5061e-08 3.5627 6.988000e-01 2.874100e-01 9.289550e-03 -0.0967 
3.2299e+05 3.0781 3.5754 0.49777 0.49236 0.4936 8.1742e+01 0 2.6122e-08 3.5754 6.988000e-01 2.874100e-01 9.289550e-03 -0.0907 
4.5710e+05 3.1406 3.5917 0.49551 0.49322 0.4936 8.1589e+01 0 3.4356e-08 3.5917 6.988000e-01 2.874100e-01 9.289550e-03 999.0000 
 0.5100 6 # agb_0.510_Z0.01400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9273 3.5627 0.51000 0.49084 0.4916 6.3989e+01 0 1.2023e-08 3.5627 6.988000e-01 2.874110e-01 9.291444e-03 -0.0997 
1.5591e+05 3.0448 3.5551 0.50725 0.49181 0.4916 8.9469e+01 0 2.2856e-08 3.5551 6.988000e-01 2.874110e-01 9.291444e-03 -0.0997 
2.6563e+05 3.0961 3.5529 0.50585 0.49231 0.4916 1.0254e+02 0 3.0339e-08 3.5529 6.988000e-01 2.874110e-01 9.291444e-03 -0.1007 
3.2039e+05 3.0622 3.5608 0.50411 0.49299 0.4916 8.8885e+01 0 2.4774e-08 3.5608 6.988000e-01 2.874110e-01 9.291444e-03 -0.1007 
4.8716e+05 3.1101 3.5691 0.50080 0.49429 0.4916 9.2384e+01 0 3.1261e-08 3.5691 6.988000e-01 2.874110e-01 9.291444e-03 -0.0979 
6.4965e+05 3.1424 3.5954 0.49763 0.49561 0.4916 7.8956e+01 0 3.4041e-08 3.5954 6.988000e-01 2.874110e-01 9.291444e-03 999.0000 
 0.5150 7 # agb_0.515_Z0.01400000_Mdot47_eta1.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9482 3.5575 0.51500 0.49248 0.4837 6.9607e+01 0 1.3366e-08 3.5575 6.987000e-01 2.874580e-01 9.299107e-03 -0.1023 
1.5454e+05 3.0510 3.5506 0.51202 0.49350 0.4837 9.3617e+01 0 2.3605e-08 3.5506 6.987000e-01 2.874580e-01 9.299107e-03 -0.1023 
