# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.5000 3 # agb_0.500_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9168 3.5540 0.50000 0.49182 0.4784 6.8769e+01 0 3.6392e-08 3.5540 6.531000e-01 3.171790e-01 1.997831e-02 -0.0987 
9.9232e+04 2.9971 3.5735 0.49503 0.49246 0.4784 6.9732e+01 0 5.2360e-08 3.5735 6.531000e-01 3.171790e-01 1.997831e-02 -0.0945 
1.3225e+05 2.8852 3.5874 0.49456 0.49250 0.4784 4.8013e+01 0 2.8708e-08 3.5874 6.531000e-01 3.171790e-01 1.997831e-02 999.0000 
 0.5050 3 # agb_0.505_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0063 3.5371 0.50500 0.49365 0.4781 9.6749e+01 0 6.0395e-08 3.5371 6.531000e-01 3.171440e-01 1.997902e-02 -0.1036 
9.8045e+04 3.0802 3.5663 0.49701 0.49445 0.4781 8.9230e+01 0 8.2035e-08 3.5663 6.531000e-01 3.171440e-01 1.997902e-02 -0.1017 
1.2728e+05 2.9170 3.5854 0.49654 0.49449 0.4781 5.2283e+01 0 3.3574e-08 3.5854 6.531000e-01 3.171440e-01 1.997902e-02 999.0000 
 0.5100 3 # agb_0.510_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0318 3.5285 0.51000 0.49532 0.4771 1.0970e+02 0 7.0146e-08 3.5285 6.531000e-01 3.172150e-01 1.998205e-02 -0.1087 
9.6391e+04 3.1075 3.5502 0.50096 0.49615 0.4771 1.0874e+02 0 9.9312e-08 3.5502 6.531000e-01 3.172150e-01 1.998205e-02 -0.1074 
1.5091e+05 3.1479 3.5709 0.49850 0.49641 0.4771 9.9327e+01 0 1.1455e-07 3.5709 6.531000e-01 3.172150e-01 1.998205e-02 999.0000 
 0.5150 3 # agb_0.515_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0125 3.5262 0.51500 0.49705 0.4770 1.0624e+02 0 6.2806e-08 3.5262 6.531000e-01 3.172280e-01 1.998308e-02 -0.1126 
9.4560e+04 3.0895 3.5344 0.50714 0.49782 0.4770 1.1892e+02 0 9.4189e-08 3.5344 6.531000e-01 3.172280e-01 1.998308e-02 -0.1118 
1.7876e+05 3.1677 3.5658 0.50090 0.49849 0.4770 1.0815e+02 0 1.2853e-07 3.5658 6.531000e-01 3.172280e-01 1.998308e-02 999.0000 
 0.5200 3 # agb_0.520_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0672 3.5152 0.52000 0.49835 0.4746 1.3129e+02 0 8.6497e-08 3.5152 6.531000e-01 3.172120e-01 1.998678e-02 -0.1171 
9.4129e+04 3.1312 3.5285 0.50932 0.49924 0.4746 1.3704e+02 0 1.1967e-07 3.5285 6.531000e-01 3.172120e-01 1.998678e-02 -0.1160 
1.5627e+05 3.2065 3.5419 0.50479 0.49965 0.4746 1.4502e+02 0 1.7258e-07 3.5419 6.531000e-01 3.172120e-01 1.998678e-02 999.0000 
 0.5250 3 # agb_0.525_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0977 3.5079 0.52500 0.49975 0.4749 1.4873e+02 0 1.0328e-07 3.5079 6.531000e-01 3.172280e-01 1.998653e-02 -0.1203 
9.2881e+04 3.1646 3.5218 0.51243 0.50070 0.4749 1.5594e+02 0 1.4622e-07 3.5218 6.531000e-01 3.172280e-01 1.998653e-02 -0.1197 
1.5644e+05 3.2386 3.5379 0.50673 0.50119 0.4749 1.6102e+02 0 2.0749e-07 3.5379 6.531000e-01 3.172280e-01 1.998653e-02 999.0000 
 0.6000 7 # agb_0.600_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2076 3.4678 0.60000 0.50919 0.4674 2.4126e+02 0 1.7701e-07 3.4678 6.531000e-01 3.172320e-01 1.999755e-02 -0.1515 
8.6108e+04 3.2461 3.4652 0.58370 0.51034 0.4674 2.7587e+02 0 2.3388e-07 3.4652 6.531000e-01 3.172320e-01 1.999755e-02 -0.1515 
1.7341e+05 3.2899 3.4658 0.56545 0.51166 0.4674 3.1127e+02 0 3.1623e-07 3.4658 6.531000e-01 3.172320e-01 1.999755e-02 -0.1514 
2.3161e+05 3.3418 3.4640 0.55740 0.51234 0.4674 3.5988e+02 0 2.8314e-07 3.4640 6.531000e-01 3.172320e-01 1.999755e-02 -0.1514 
2.6408e+05 3.3072 3.4771 0.54756 0.51323 0.4674 3.0111e+02 0 3.4995e-07 3.4771 6.531000e-01 3.172320e-01 1.999755e-02 -0.1488 
3.5734e+05 3.3192 3.5342 0.52073 0.51504 0.4674 1.9434e+02 0 3.1117e-07 3.5342 6.531000e-01 3.172320e-01 1.999755e-02 -0.1488 
3.7116e+05 2.9496 3.5660 0.52009 0.51505 0.4674 6.4125e+01 0 3.8637e-08 3.5660 6.531000e-01 3.172320e-01 1.999755e-02 999.0000 
 0.6200 8 # agb_0.62_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1760 3.4708 0.62000 0.50864 0.4678 2.1255e+02 0 1.3772e-07 3.4708 6.531000e-01 3.172480e-01 1.999568e-02 -0.1523 
8.6381e+04 3.2105 3.4664 0.60856 0.50969 0.4678 2.4278e+02 0 1.7620e-07 3.4664 6.531000e-01 3.172480e-01 1.999568e-02 -0.1523 
1.7447e+05 3.2420 3.4636 0.59560 0.51090 0.4678 2.7243e+02 0 2.2182e-07 3.4636 6.531000e-01 3.172480e-01 1.999568e-02 -0.1516 
2.6513e+05 3.2608 3.4649 0.58026 0.51231 0.4678 2.8736e+02 0 2.5704e-07 3.4649 6.531000e-01 3.172480e-01 1.999568e-02 -0.1516 
3.5764e+05 3.2834 3.4696 0.56354 0.51391 0.4678 2.9764e+02 0 3.0130e-07 3.4696 6.531000e-01 3.172480e-01 1.999568e-02 -0.1529 
4.1898e+05 3.3387 3.4687 0.55487 0.51471 0.4678 3.4406e+02 0 2.1928e-07 3.4687 6.531000e-01 3.172480e-01 1.999568e-02 -0.1529 
4.5242e+05 3.3048 3.4807 0.54720 0.51572 0.4678 2.9027e+02 0 3.3963e-07 3.4807 6.531000e-01 3.172480e-01 1.999568e-02 -0.1512 
5.4320e+05 3.3706 3.5353 0.52278 0.51753 0.4678 2.1508e+02 0 4.0832e-07 3.5353 6.531000e-01 3.172480e-01 1.999568e-02 999.0000 
 0.6500 8 # agb_0.65_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2281 3.4612 0.65000 0.51007 0.4687 2.4919e+02 0 1.7579e-07 3.4612 6.531000e-01 3.171680e-01 1.999554e-02 -0.1588 
8.5010e+04 3.2693 3.4549 0.63218 0.51123 0.4687 2.9645e+02 0 2.4044e-07 3.4549 6.531000e-01 3.171680e-01 1.999554e-02 -0.1588 
1.7274e+05 3.2911 3.4542 0.60669 0.51262 0.4687 3.2507e+02 0 1.6144e-07 3.4542 6.531000e-01 3.171680e-01 1.999554e-02 -0.1573 
2.3332e+05 3.3615 3.4452 0.59518 0.51339 0.4687 4.1923e+02 0 6.6222e-07 3.4452 6.531000e-01 3.171680e-01 1.999554e-02 -0.1573 
2.6127e+05 3.3359 3.4566 0.57527 0.51420 0.4687 3.6897e+02 0 3.2810e-07 3.4566 6.531000e-01 3.171680e-01 1.999554e-02 -0.1579 
3.5401e+05 3.3476 3.4750 0.54865 0.51607 0.4687 3.3531e+02 0 1.8923e-07 3.4750 6.531000e-01 3.171680e-01 1.999554e-02 -0.1579 
4.4934e+05 3.3587 3.5063 0.53122 0.51817 0.4687 2.6759e+02 0 4.2658e-07 3.5063 6.531000e-01 3.171680e-01 1.999554e-02 -0.1558 
4.9664e+05 3.3532 3.5342 0.52426 0.51872 0.4687 2.0847e+02 0 3.7068e-07 3.5342 6.531000e-01 3.171680e-01 1.999554e-02 999.0000 
 0.6600 9 # agb_0.66_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1996 3.4673 0.66000 0.51439 0.4690 2.1852e+02 0 1.4158e-07 3.4673 6.531000e-01 3.171720e-01 1.999476e-02 -0.1556 
8.1638e+04 3.2430 3.4602 0.64895 0.51544 0.4690 2.6036e+02 0 1.9231e-07 3.4602 6.531000e-01 3.171720e-01 1.999476e-02 -0.1556 
1.6596e+05 3.2657 3.4572 0.63575 0.51668 0.4690 2.8663e+02 0 2.3014e-07 3.4572 6.531000e-01 3.171720e-01 1.999476e-02 -0.1567 
2.5289e+05 3.2770 3.4576 0.61791 0.51813 0.4690 3.0064e+02 0 2.5882e-07 3.4576 6.531000e-01 3.171720e-01 1.999476e-02 -0.1567 
3.3973e+05 3.3230 3.4552 0.59510 0.51974 0.4690 3.5217e+02 0 2.5410e-07 3.4552 6.531000e-01 3.171720e-01 1.999476e-02 -0.1572 
4.0040e+05 3.3612 3.4537 0.58421 0.52063 0.4690 3.9494e+02 0 4.7753e-07 3.4537 6.531000e-01 3.171720e-01 1.999476e-02 -0.1572 
4.3038e+05 3.3434 3.4648 0.56921 0.52160 0.4690 3.5206e+02 0 2.5119e-07 3.4648 6.531000e-01 3.171720e-01 1.999476e-02 -0.1591 
5.2323e+05 3.3622 3.4838 0.54915 0.52367 0.4690 3.1982e+02 0 1.4388e-07 3.4838 6.531000e-01 3.171720e-01 1.999476e-02 -0.1591 
5.9390e+05 3.4041 3.5350 0.53038 0.52505 0.4690 2.2951e+02 0 4.7863e-07 3.5350 6.531000e-01 3.171720e-01 1.999476e-02 999.0000 
 0.6800 11 # agb_0.68_Z0.03000000_Mdot44_eta12.00_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1323 3.4786 0.68000 0.51455 0.4691 1.6542e+02 0 8.7902e-08 3.4786 6.531000e-01 3.171810e-01 1.999357e-02 -0.1498 
8.1571e+04 3.1633 3.4737 0.67183 0.51543 0.4691 1.8735e+02 0 1.0889e-07 3.4737 6.531000e-01 3.171810e-01 1.999357e-02 -0.1515 
1.6526e+05 3.1891 3.4696 0.66234 0.51643 0.4691 2.0848e+02 0 1.3122e-07 3.4696 6.531000e-01 3.171810e-01 1.999357e-02 -0.1522 
2.5131e+05 3.2001 3.4682 0.65121 0.51760 0.4691 2.1966e+02 0 1.4488e-07 3.4682 6.531000e-01 3.171810e-01 1.999357e-02 -0.1535 
3.3735e+05 3.2423 3.4619 0.63836 0.51888 0.4691 2.5990e+02 0 1.9588e-07 3.4619 6.531000e-01 3.171810e-01 1.999357e-02 -0.1549 
4.2729e+05 3.2508 3.4620 0.62510 0.52037 0.4691 2.6963e+02 0 2.1380e-07 3.4620 6.531000e-01 3.171810e-01 1.999357e-02 -0.1552 
5.1803e+05 3.2762 3.4604 0.61113 0.52201 0.4691 2.9567e+02 0 2.5942e-07 3.4604 6.531000e-01 3.171810e-01 1.999357e-02 -0.1560 
