# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5400 3 # agb_0.540_Z0.04000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2569 3.4694 0.54000 0.50659 2.9207e+02 0 1.8323e-07 6.252000e-01 3.351980e-01 6.182200e-03 3.090476e-03 1.740023e-02 -0.1334 6.252000e-01 3.351980e-01 6.182200e-03 3.090476e-03 1.740023e-02 0.00000 0.00000 0.00000 0.00000 3.99179 -0.14050 -1.99497 0.00000 0.00000
7.2547e+04 3.3335 3.5161 0.51464 0.50782 2.3841e+02 0 4.3351e-07 6.252000e-01 3.351980e-01 6.182200e-03 3.090476e-03 1.740023e-02 -0.1326 6.252000e-01 3.351980e-01 6.182200e-03 3.090476e-03 1.740023e-02 2.83470 3.35750 0.02868 0.03317 3.99179 -0.14050 -1.99497 0.00000 0.00000
9.2682e+04 3.1144 3.5400 0.51297 0.50789 1.1836e+02 0 1.5959e-07 6.252000e-01 3.351980e-01 6.182200e-03 3.090476e-03 1.740023e-02 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.88600 3.13880 0.00490 0.00596 3.97580 -0.12171 -11.18292 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5500 3 # agb_0.550_Z0.04000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2204 3.4679 0.55000 0.50766 2.6829e+02 0 1.4289e-07 6.252000e-01 3.352220e-01 6.188700e-03 3.082562e-03 1.740023e-02 -0.1385 6.252000e-01 3.352220e-01 6.188700e-03 3.082562e-03 1.740023e-02 0.00000 0.00000 0.00000 0.00000 3.97983 -0.14460 -1.10174 0.00000 0.00000
7.1889e+04 3.3254 3.4973 0.52107 0.50887 2.7373e+02 0 3.5237e-07 6.252000e-01 3.352220e-01 6.188700e-03 3.082562e-03 1.740023e-02 -0.1428 6.252000e-01 3.352220e-01 6.188700e-03 3.082562e-03 1.740023e-02 2.84600 3.35540 0.03691 0.04212 3.97983 -0.14460 -1.10174 0.00000 0.00000
1.0907e+05 3.3667 3.5239 0.51451 0.50922 2.3953e+02 0 5.5208e-07 6.252000e-01 3.352220e-01 6.188700e-03 3.082562e-03 1.740023e-02 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.89480 3.26790 0.00905 0.01144 3.97634 -0.12460 -6.40044 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5600 3 # agb_0.560_Z0.04000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2453 3.4601 0.56000 0.50957 2.9915e+02 0 1.4962e-07 6.252000e-01 3.352350e-01 6.184100e-03 3.087592e-03 1.740023e-02 -0.1431 6.252000e-01 3.352350e-01 6.184100e-03 3.087592e-03 1.740023e-02 0.00000 0.00000 0.00000 0.00000 3.98170 -0.14889 -0.76076 0.00000 0.00000
