# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5800 3 # agb_0.580_Z0.00100000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0233 3.6182 0.58000 0.50438 2.4077e+01 1 1.6482e-07 7.395000e-01 2.594760e-01 1.300910e-04 1.060891e-04 4.351727e-04 -0.0856 7.395000e-01 2.594760e-01 1.300910e-04 1.060891e-04 4.351727e-04 0.00000 0.00000 0.00000 0.00000 3.97584 -0.10878 -0.43553 0.00000 0.00000
2.4459e+05 3.1570 3.6307 0.51865 0.50639 2.9691e+01 1 4.3451e-07 7.395000e-01 2.594760e-01 1.300910e-04 1.060891e-04 4.351727e-04 -0.0862 7.395000e-01 2.594760e-01 1.300910e-04 1.060891e-04 4.351727e-04 2.72130 3.19480 0.01226 0.07562 3.97584 -0.10878 -0.43553 0.00000 0.00000
3.0352e+05 2.8276 3.6704 0.51118 0.50644 1.1816e+01 1 1.3122e-07 7.395000e-01 2.594760e-01 1.300910e-04 1.060891e-04 4.351727e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.75040 2.82760 0.00474 0.00683 3.34230 0.10881 4.29057 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5900 3 # agb_0.590_Z0.00100000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0419 3.6159 0.59000 0.50599 2.5101e+01 1 1.7179e-07 7.394000e-01 2.595980e-01 1.303310e-04 1.058907e-04 4.352582e-04 -0.0863 7.394000e-01 2.595980e-01 1.303310e-04 1.058907e-04 4.352582e-04 0.00000 0.00000 0.00000 0.00000 3.94785 -0.10161 -0.30476 0.00000 0.00000
2.4017e+05 3.1753 3.6210 0.52861 0.50806 3.2669e+01 1 4.2170e-07 7.394000e-01 2.595980e-01 1.303310e-04 1.058907e-04 4.352582e-04 -0.0866 7.394000e-01 2.595980e-01 1.303310e-04 1.058907e-04 4.352582e-04 2.74000 3.21110 0.02055 0.08401 3.94785 -0.10161 -0.30476 0.00000 0.00000
3.3887e+05 3.0478 3.6544 0.51328 0.50832 2.0467e+01 1 3.1261e-07 7.394000e-01 2.595980e-01 1.303310e-04 1.058907e-04 4.352582e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.76970 3.04780 0.00496 0.01505 4.10713 -0.14311 -3.43025 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6000 3 # agb_0.600_Z0.00100000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0467 3.6151 0.60000 0.50769 2.5260e+01 1 1.6982e-07 7.395000e-01 2.595240e-01 1.319790e-04 1.038931e-04 4.352739e-04 -0.0867 7.395000e-01 2.595240e-01 1.319790e-04 1.038931e-04 4.352739e-04 0.00000 0.00000 0.00000 0.00000 3.93139 -0.09772 -0.22100 0.00000 0.00000
2.3636e+05 3.1859 3.6148 0.53909 0.50980 3.4489e+01 1 4.0644e-07 7.395000e-01 2.595240e-01 1.319790e-04 1.038931e-04 4.352739e-04 -0.0872 7.395000e-01 2.595240e-01 1.319790e-04 1.038931e-04 4.352739e-04 2.75890 3.22250 0.02929 0.09231 3.93139 -0.09772 -0.22100 0.00000 0.00000
3.5981e+05 3.1545 3.6491 0.51485 0.51033 2.6104e+01 1 5.0234e-07 7.395000e-01 2.595240e-01 1.319790e-04 1.038931e-04 4.352739e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.78870 3.15450 0.00452 0.02391 4.11087 -0.14362 -2.40596 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6200 3 # agb_0.62_Z0.00100000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2211 3.5988 0.62000 0.51226 3.8515e+01 1 3.3037e-07 7.390000e-01 2.600400e-01 1.300880e-04 1.062943e-04 4.351331e-04 -0.0901 7.390000e-01 2.600400e-01 1.300880e-04 1.062943e-04 4.351331e-04 0.00000 0.00000 0.00000 0.00000 4.05420 -0.12985 -0.43505 0.00000 0.00000
2.2639e+05 3.3030 3.6330 0.52173 0.51501 7.7378e+01 0 9.2683e-07 7.390000e-01 2.600400e-01 1.300880e-04 1.062943e-04 4.351331e-04 -0.0892 7.390000e-01 2.600400e-01 1.300880e-04 1.062943e-04 4.351331e-04 2.81230 3.34190 0.00672 0.10774 4.05420 -0.12985 -0.43505 0.00000 0.00000
2.3001e+05 3.0739 3.6535 0.51995 0.51501 2.2908e+01 1 3.9811e-07 7.390000e-01 2.600400e-01 1.300880e-04 1.062943e-04 4.351331e-04 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 0.00000 0.00000 0.00000 0.00000 4.05420 -0.12985 -0.43505 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6500 3 # agb_0.65_Z0.00100000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
