# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5400 3 # agb_0.540_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1524 3.5224 0.54000 0.49723 1.4396e+02 0 1.5453e-07 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 -0.1146 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 0.00000 0.00000 0.00000 0.00000 3.95042 -0.12403 -0.91087 0.00000 0.00000
1.4763e+05 3.2057 3.5393 0.51495 0.49867 1.4556e+02 0 2.5763e-07 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 -0.1170 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 2.69910 3.26110 0.01628 0.04277 3.95042 -0.12403 -0.91087 0.00000 0.00000
2.3372e+05 3.2401 3.5722 0.50337 0.49917 1.2306e+02 0 3.8726e-07 6.986000e-01 2.875600e-01 2.040300e-03 1.215386e-03 6.070969e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.71930 3.24010 0.00420 0.01559 3.99188 -0.12504 -3.93365 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5500 3 # agb_0.550_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1217 3.5228 0.55000 0.49870 1.3176e+02 0 1.2706e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 -0.1173 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 0.00000 0.00000 0.00000 0.00000 3.93533 -0.12344 -0.53735 0.00000 0.00000
1.4259e+05 3.2109 3.5235 0.53010 0.50001 1.6528e+02 0 2.2131e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 -0.1200 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 2.71740 3.23950 0.03009 0.05130 3.93533 -0.12344 -0.53735 0.00000 0.00000
2.7313e+05 3.2731 3.5696 0.50559 0.50130 1.3707e+02 0 4.6452e-07 6.986000e-01 2.874840e-01 2.031800e-03 1.225415e-03 6.070910e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.73620 3.27310 0.00429 0.02872 4.04086 -0.14249 -2.41783 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5600 3 # agb_0.560_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2424 3.5050 0.56000 0.50078 1.9897e+02 0 2.0559e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 -0.1235 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 0.00000 0.00000 0.00000 0.00000 3.95870 -0.12937 -0.59559 0.00000 0.00000
1.4221e+05 3.2821 3.5176 0.53124 0.50245 2.0370e+02 0 3.1117e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 -0.1252 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 2.74250 3.33000 0.02879 0.05922 3.95870 -0.12937 -0.59559 0.00000 0.00000
2.4608e+05 3.3477 3.5630 0.50833 0.50348 1.6926e+02 0 6.5464e-07 6.986000e-01 2.875160e-01 2.041600e-03 1.214450e-03 6.070902e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.76490 3.34770 0.00485 0.02780 4.04384 -0.14110 -2.68309 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5700 3 # agb_0.570_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.3329 3.4915 0.57000 0.50405 2.7049e+02 0 2.9648e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 -0.1282 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 0.00000 0.00000 0.00000 0.00000 3.98165 -0.13475 -0.65045 0.00000 0.00000
1.3865e+05 3.3458 3.5147 0.53223 0.50601 2.4076e+02 0 4.3152e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 -0.1277 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 2.78000 3.39950 0.02622 0.06595 3.98165 -0.13475 -0.65045 0.00000 0.00000
2.2471e+05 3.3886 3.5625 0.51165 0.50687 1.8657e+02 0 7.9250e-07 6.986000e-01 2.875450e-01 2.053400e-03 1.199483e-03 6.070910e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.80520 3.38860 0.00478 0.02525 4.05345 -0.14162 -3.14758 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5800 3 # agb_0.580_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2491 3.5002 0.58000 0.50316 2.0426e+02 0 1.9275e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 -0.1276 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 0.00000 0.00000 0.00000 0.00000 3.94951 -0.13141 -0.28950 0.00000 0.00000
1.3928e+05 3.2873 3.5040 0.55438 0.50484 2.2394e+02 0 2.6669e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 -0.1298 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 2.76990 3.33620 0.04954 0.07684 3.94951 -0.13141 -0.28950 0.00000 0.00000
2.8629e+05 3.3580 3.5671 0.51121 0.50704 1.7197e+02 0 7.2778e-07 6.987000e-01 2.874720e-01 2.062300e-03 1.189512e-03 6.070919e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.79190 3.37450 0.00417 0.04868 4.11268 -0.16345 -1.73438 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5900 4 # agb_0.590_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1266 3.5156 0.59000 0.50242 1.3340e+02 0 1.0814e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1234 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 0.00000 0.00000 0.00000 0.00000 3.92927 -0.12929 -0.10858 0.00000 0.00000
1.4031e+05 3.2115 3.5075 0.57239 0.50384 1.7808e+02 0 1.6982e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1285 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 2.76160 3.26180 0.06855 0.08758 3.92927 -0.12929 -0.10858 0.00000 0.00000
2.8910e+05 3.2622 3.5107 0.54831 0.50566 2.0145e+02 0 2.4946e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 -0.1271 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 2.78020 3.29390 0.04265 0.06791 3.94825 -0.12946 -0.37022 0.00000 0.00000
4.3775e+05 3.3293 3.5651 0.51245 0.50775 1.5901e+02 0 5.9841e-07 6.987000e-01 2.874980e-01 2.077000e-03 1.171541e-03 6.070944e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.80380 3.32930 0.00470 0.04126 4.09401 -0.15863 -1.88829 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.6000 4 # agb_0.600_Z0.01400000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr0.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.2416 3.4988 0.60000 0.50457 1.9727e+02 0 1.7179e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1301 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 0.00000 0.00000 0.00000 0.00000 3.94236 -0.13328 -0.11631 0.00000 0.00000
1.3630e+05 3.3016 3.4952 0.57704 0.50623 2.4141e+02 0 2.5003e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1327 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 2.78580 3.33930 0.07081 0.09543 3.94236 -0.13328 -0.11631 0.00000 0.00000
2.8554e+05 3.3413 3.5089 0.54190 0.50853 2.4688e+02 0 3.8905e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 -0.1282 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 2.80750 3.37490 0.03337 0.06968 3.97755 -0.13523 -0.53206 0.00000 0.00000
3.9042e+05 3.3894 3.5626 0.51468 0.50986 1.8637e+02 0 7.9433e-07 6.987000e-01 2.875190e-01 2.087900e-03 1.158564e-03 6.070967e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.83570 3.38940 0.00482 0.03153 4.08926 -0.15324 -2.64866 0.00000 0.00000
