# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5300 3 # agb_0.530_Z0.02000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0421 3.5222 0.53000 0.49196 1.1469e+02 0 8.8308e-08 6.810000e-01 2.991470e-01 3.039100e-03 1.599049e-03 8.684182e-03 -0.1154 6.810000e-01 2.991470e-01 3.039100e-03 1.599049e-03 8.684182e-03 0.00000 0.00000 0.00000 0.00000 3.93934 -0.12559 -0.95825 0.00000 0.00000
1.2642e+05 3.1906 3.5210 0.51229 0.49313 1.6650e+02 0 2.0749e-07 6.810000e-01 2.991470e-01 3.039100e-03 1.599049e-03 8.684182e-03 -0.1209 6.810000e-01 2.991470e-01 3.039100e-03 1.599049e-03 8.684182e-03 2.63990 3.24570 0.01916 0.03804 3.93934 -0.12559 -0.95825 0.00000 0.00000
2.1903e+05 3.2633 3.5559 0.49843 0.49383 1.5029e+02 0 4.1210e-07 6.810000e-01 2.991470e-01 3.039100e-03 1.599049e-03 8.684182e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.65760 3.26330 0.00460 0.01854 3.99041 -0.12919 -3.49954 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5400 3 # agb_0.540_Z0.02000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0549 3.5168 0.54000 0.49337 1.2176e+02 0 8.7297e-08 6.810000e-01 2.992600e-01 2.992700e-03 1.652066e-03 8.684104e-03 -0.1193 6.810000e-01 2.992600e-01 2.992700e-03 1.652066e-03 8.684104e-03 0.00000 0.00000 0.00000 0.00000 3.93711 -0.12808 -0.64277 0.00000 0.00000
1.2539e+05 3.1955 3.5102 0.52297 0.49458 1.8197e+02 0 1.8836e-07 6.810000e-01 2.992600e-01 2.992700e-03 1.652066e-03 8.684104e-03 -0.1256 6.810000e-01 2.992600e-01 2.992700e-03 1.652066e-03 8.684104e-03 2.65920 3.25740 0.02839 0.04663 3.93711 -0.12808 -0.64277 0.00000 0.00000
2.4307e+05 3.2904 3.5531 0.50055 0.49583 1.6206e+02 0 4.6989e-07 6.810000e-01 2.992600e-01 2.992700e-03 1.652066e-03 8.684104e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.67700 3.29040 0.00472 0.02793 4.02779 -0.14218 -2.57123 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5500 3 # agb_0.550_Z0.02000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1093 3.5075 0.55000 0.49637 1.4693e+02 0 1.0495e-07 6.810000e-01 2.991860e-01 2.985600e-03 1.660107e-03 8.684071e-03 -0.1240 6.810000e-01 2.991860e-01 2.985600e-03 1.660107e-03 8.684071e-03 0.00000 0.00000 0.00000 0.00000 3.94827 -0.13218 -0.57088 0.00000 0.00000
1.2192e+05 3.2426 3.5012 0.53087 0.49771 2.1619e+02 0 2.2131e-07 6.810000e-01 2.991860e-01 2.985600e-03 1.660107e-03 8.684071e-03 -0.1293 6.810000e-01 2.991860e-01 2.985600e-03 1.660107e-03 8.684071e-03 2.69850 3.30080 0.03316 0.05363 3.94827 -0.13218 -0.57088 0.00000 0.00000
2.4006e+05 3.3336 3.5527 0.50375 0.49918 1.8011e+02 0 5.8076e-07 6.810000e-01 2.991860e-01 2.985600e-03 1.660107e-03 8.684071e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.71730 3.33360 0.00457 0.03261 4.05458 -0.14941 -2.41659 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
 0.5600 3 # agb_0.560_Z0.02000000_Mdot50_eta0.40_Mc0.00_dMc0.00_Tbd6.40_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.1507 3.4999 0.56000 0.49823 1.6977e+02 0 1.1967e-07 6.810000e-01 2.992110e-01 2.984900e-03 1.661146e-03 8.684048e-03 -0.1273 6.810000e-01 2.992110e-01 2.984900e-03 1.661146e-03 8.684048e-03 0.00000 0.00000 0.00000 0.00000 3.95204 -0.13500 -0.44818 0.00000 0.00000
1.1957e+05 3.2757 3.4924 0.53997 0.49964 2.4787e+02 0 2.4099e-07 6.810000e-01 2.992110e-01 2.984900e-03 1.661146e-03 8.684048e-03 -0.1326 6.810000e-01 2.992110e-01 2.984900e-03 1.661146e-03 8.684048e-03 2.72170 3.32870 0.04033 0.06177 3.95204 -0.13500 -0.44818 0.00000 0.00000
2.4663e+05 3.3126 3.5530 0.50619 0.50150 1.7485e+02 0 5.4325e-07 6.810000e-01 2.992110e-01 2.984900e-03 1.661146e-03 8.684048e-03 999.0000 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 9.990000e+02 2.74130 3.36450 0.00469 0.03966 4.06480 -0.15346 -1.99713 0.00000 0.00000
# age(yr) logL logTe m_act mcore period ip Mdot(Msun/yr) X Y X_C X_N X_O dlogTe/dlogL Xm Ym X_Cm X_Nm X_Om minL maxL minMenv maxMenv fits0 fits1 fits2 fits3 fits4
